"","inchikey","id","name","precursormz","mass","hmdb","dsstox","t3db","foodb","refmet","chebi"
"1","AAGCATAPYOEULE-LHHMAMHXSA-N","PM012925","Matairesinoside","519",NA,NA,"DTXSID80177784",NA,NA,NA,132820
"2","AAOFJKLTRKOQTQ-UHFFFAOYSA-N","VF-NPL-LTQ006580","Methylxanthoxylin","248.96833870627663",210.089208936,"HMDB0034047","DTXSID40315726",NA,"FDB012289",NA,NA
"6","AAPVQEMYVNZIOO-UHFFFAOYSA-N","MSBNK-LCSB-LU056256","Endosulfan sulfate","418.8045",419.811795612,"HMDB0251794","DTXSID3037541","T3D0055",NA,NA,NA
"18","AAWZDTNXLSGCEK-LNVDRNJUSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","D-(-)-quinic acid","191.056106567383",192.06339,NA,NA,NA,NA,"Quinic acid",NA
"48","AAWZDTNXLSGCEK-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS062907","Kinic acid","191.16",192.063388116,NA,NA,NA,"FDB001170",NA,NA
"52","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","190.973994731903",192.063388116,"HMDB0003072",NA,NA,NA,NA,17521
"79","ABOVRDBEJDIBMZ-UHFFFAOYSA-N","MSBNK-Eawag_Additional_Specs-ETS00123","Flucofuron","414.9846",NA,NA,NA,NA,NA,NA,59242
"82","ABRULANJVVJLFI-DGHBBABESA-N","O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4","Swertisin","445.104",NA,NA,NA,NA,NA,NA,131838
"83","ABRULANJVVJLFI-UHFFFAOYSA-N","MSBNK-RIKEN-PR309288","Flavone base + 2O, 1MeO, C-Hex","445.1148",446.121296908,"HMDB0258645",NA,NA,NA,NA,NA
"85","ABVCUBUIXWJYSE-GQUPQBGVSA-O","PR100672","Callistephin","431.09784",433.112923296,"HMDB0240551",NA,NA,NA,"Pelargonidin 3-O-beta-D-glucoside",31967
"88","ABVCUBUIXWJYSE-GQUPQBGVSA-O","OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","Callistephin; LC-ESI-QTOF; MS2; CE","449.108386",433.112923296,"HMDB0240551",NA,NA,NA,"Pelargonidin 3-O-beta-D-glucoside",31967
"102","ABVCUBUIXWJYSE-UHFFFAOYSA-O","MSBNK-RIKEN_ReSpect-PT204290","Pelargonidin-3-O-glucoside","431.09784",433.113471892,"HMDB0033682",NA,NA,"FDB002748",NA,NA
"119","ABZLZZCDSLOCNF-UHFFFAOYSA-N","CCMSLIB00004751242","Chloroatranorin","407.055",NA,NA,"DTXSID50197318",NA,NA,NA,NA
"121","ACAAVKGSTVOIQB-BASWHVEKSA-N","VF-NPL-QEHF005167","Bracteatin","301.0353698730469",NA,NA,"DTXSID60415090",NA,NA,NA,NA
"133","ACEKLXZRZOWKRY-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU595652","Perfluoropentane sulfonic acid (PFPeS)","348.9398",NA,NA,"DTXSID8062600",NA,NA,NA,NA
"142","ACGUYXCXAPNIKK-UHFFFAOYSA-N","MSBNK-LCSB-LU130751","Hexachlorophene","402.8426",403.849895678,"HMDB0014894","DTXSID6020690",NA,NA,NA,5693
"160","ACNHBCIZLNNLRS-UBGQALKQSA-N","O=C1C=C2C(OC1C(O)(C)C)CCC3(C)C2(O)CCC4CC=5C=6C=CC=CC6NC5C43C","NCGC00025342-07_C27H33NO4_(2R,4bS,6aS,12bS,12cR,14aS)-4b-Hydroxy-2-(2-hydroxy-2-propanyl)-12b,12c-dimethyl-5,6,6a,7,12,12b,12c,13,14,14a-decahydro-2H-chromeno[5',6':6,7]indeno[1,2-b]indol-3(4bH)-one","480.239",435.240958549,"HMDB0030323",NA,NA,"FDB002165","Paxilline",NA
"161","ACNHBCIZLNNLRS-UBGQALKQSA-N","O=C1C=C2C(OC1C(O)(C)C)CCC3(C)C2(O)CCC4CC=5C=6C=CC=CC6NC5C43C","NCGC00025342-07_C27H33NO4_(2R,4bS,6aS,12bS,12cR,14aS)-4b-Hydroxy-2-(2-hydroxy-2-propanyl)-12b,12c-dimethyl-5,6,6a,7,12,12b,12c,13,14,14a-decahydro-2H-chromeno[5',6':6,7]indeno[1,2-b]indol-3(4bH)-one","434.234",435.240958549,"HMDB0030323",NA,NA,"FDB002165","Paxilline",NA
"164","ACTIUHUUMQJHFO-UPTCCGCDSA-N","O=C1C(OC)=C(OC)C(=O)C(=C1C)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","Ubidecarenone","861.676574707031",862.683911368,"HMDB0001072","DTXSID6046054",NA,"FDB013228","Coenzyme Q10",46245
"170","ACWBBAGYTKWBCD-UHFFFAOYSA-N","MoNA035186","3-CHLORO-TYROSINE","214.0276449",215.034920898,"HMDB0001885",NA,NA,"FDB022723",NA,NA
"175","ACWBBAGYTKWBCD-ZETCQYMHSA-N","PT210550","3-Chloro-L-tyrosine hydrochloride","214.02712",215.034922,NA,NA,NA,NA,"3-Chlorotyrosine",53678
"189","ACWBQPMHZXGDFX-QFIPXVFZSA-N","SM860851","Valsartan","434.2198",435.227039819,"HMDB0014323",NA,NA,NA,"Valsartan",9927
"243","ACXLVKYMISNUFD-UHFFFAOYSA-N","O=CC1(C)CCCC2(C)C1CCC34CC(CO)C(CCC32)C4","14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0?,??.0?,?]hexadecane-5-carbaldehyde","303.232940673828",304.240230268,"HMDB0036721",NA,NA,"FDB015658",NA,NA
"253","ADCUEPOHPCPMCE-UHFFFAOYSA-N","MSBNK-LCSB-LU104053","4-Cyanobenzoic acid","146.0248",NA,NA,"DTXSID9041659",NA,NA,NA,NA
"263","ADEBPBSSDYVVLD-UHFFFAOYNA-N","O=C1C2=CC(OC)=C(OC)C=C2CC1CC3CCN(CC=4C=CC=CC4)CC3","Donepezil","378.20746734583",379.214743799,NA,NA,"T3D2910",NA,NA,NA
"265","ADEBPBSSDYVVLD-UHFFFAOYSA-N","FiehnHILIC002674","Donepezil","378.2027",379.214743799,"HMDB0005041","DTXSID8048317",NA,"FDB023607",NA,53289
"269","ADFCQWZHKCXPAJ-UHFFFAOYSA-N","FiehnHILIC002686","Equol","241.0851",242.094294311,"HMDB0243678","DTXSID7058705",NA,NA,NA,NA
"270","ADFIQZBYNGPCGY-UHFFFAOYSA-N","MSBNK-HBM4EU-HB002971","3-Acetyldeoxynivalenol","337.1293",338.136553058,"HMDB0036137",NA,NA,"FDB014986",NA,NA
"276","ADFWQBGTDJIESE-UHFFFAOYSA-N","O=C(O)C=1C(O)=CC=CC1CCCCCCCCCCCCCCC","2-hydroxy-6-pentadecylbenzoic acid","347.258",348.266445018,"HMDB0029683","DTXSID00168078",NA,"FDB000869",NA,2696
