"","inchikey","id","name","precursormz","mass","hmdb","dsstox","t3db","foodb","refmet","chebi"
"4","AAEVYOVXGOFMJO-UHFFFAOYSA-N","MSBNK-LCSB-LU086106","Prometryn","242.1434",241.136116323,"HMDB0256805","DTXSID4024272","T3D3906","FDB097208","Prometryn",26276
"74","AAGFPTSOPGCENQ-JLNYLFASSA-N","NA002411","Sophocarpine","247.1805",NA,NA,"DTXSID90215126",NA,NA,NA,NA
"119","AAOFJKLTRKOQTQ-UHFFFAOYSA-N","VF-NPL-QTOF008941","Methylxanthoxylin","211.0956",210.089208936,"HMDB0034047","DTXSID40315726",NA,"FDB012289",NA,NA
"124","AAOVKJBEBIDNHE-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU160802","Diazepam","285.0789",284.071640755,"HMDB0014967","DTXSID4020406","T3D2903","FDB007103","Diazepam",49575
"199","AAPVQEMYVNZIOO-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU591419","Endosulfan sulphate","419.8112",419.811795612,"HMDB0251794","DTXSID3037541","T3D0055",NA,NA,NA
"206","AAWZDTNXLSGCEK-LNVDRNJUSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","QUINATE","193.07",192.06339,NA,NA,NA,NA,"Quinic acid",NA
"208","AAWZDTNXLSGCEK-LNVDRNJUSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","D-(-)-quinic acid","231.026550292969",192.06339,NA,NA,NA,NA,"Quinic acid",NA
"219","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","193.070663452148",192.063388116,"HMDB0003072",NA,NA,NA,NA,17521
"220","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","D-(?)-Quinic acid","231.052310943604",192.063388116,"HMDB0003072",NA,NA,NA,NA,17521
"221","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","210.097213745117",192.063388116,"HMDB0003072",NA,NA,NA,NA,17521
"222","AAWZDTNXLSGCEK-WYWMIBKRSA-N","VF-NPL-QEHF006202","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","215.052597045898",192.063388116,"HMDB0003072",NA,NA,NA,NA,17521
"248","ABBKOIZWGCVCKE-UHFFFAOYSA-N","MSBNK-Eawag-EA028505","Isoproturon-didemethyl","179.1179",NA,NA,"DTXSID10204592",NA,NA,NA,83514
"297","ABLACSIRCKEUOB-UHFFFAOYSA-N","O=C1C2=C(O)C=C(O)C=3C(=O)C(C=4C=C(O)C=5C(=C1C(O)=CC5C)C4C23)(C)C","NCGC00160275-01!RESISTOMYCIN","377.103",376.09469,NA,"DTXSID4046101",NA,NA,"Resistomycin",NA
"309","ABRIMXGLNHCLIP-UHFFFAOYSA-N","AU245701","Velvione","237.2213",NA,NA,"DTXSID8047139",NA,NA,NA,NA
"315","ABRULANJVVJLFI-DGHBBABESA-N","O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4","Swertisin","447.13",NA,NA,NA,NA,NA,NA,131838
"316","ABRULANJVVJLFI-DGHBBABESA-N","O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4","Swertisin","469.11",NA,NA,NA,NA,NA,NA,131838
"369","ABRULANJVVJLFI-UHFFFAOYSA-N","MSBNK-RIKEN-PR310976","Flavone base + 2O, 1MeO, C-Hex","447.1294",446.121296908,"HMDB0258645",NA,NA,NA,NA,NA
"372","ABSDACFLIMOXJY-UHFFFAOYSA-O","PM012201","Tembetarine","344",NA,NA,NA,NA,NA,NA,136682
"373","ABTRFGSPYXCGMR-AXXBKCDFSA-N","MSBNK-Kyoto_Univ-CA000100","Rubixanthin","552.43",552.433116423,"HMDB0035836",NA,NA,"FDB014606",NA,8907
"375","ABVCUBUIXWJYSE-GQUPQBGVSA-O","OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","Pelargonidin-3-O-glucoside","433.1123747",433.112923296,"HMDB0240551",NA,NA,NA,"Pelargonidin 3-O-beta-D-glucoside",31967
"422","ABVCUBUIXWJYSE-UHFFFAOYSA-O","MSBNK-RIKEN-PR311179","Pelargonidin-3-O-glucoside","433.11237",433.113471892,"HMDB0033682",NA,NA,"FDB002748",NA,NA
"431","ABXZOXDTHTTZJW-GFCCVEGCSA-N","OC1=CC=C(C=C1O)CC2NCCC3=CC(O)=C(O)C=C32","(R)-1-(3,4-dihydroxybenzyl)-1,2,3,4-tetrahydroisoquinoline-6,7-diol","310.11",NA,NA,NA,NA,NA,NA,27702
"432","ABXZOXDTHTTZJW-GFCCVEGCSA-N","OC1=CC=C(C=C1O)CC2NCCC3=CC(O)=C(O)C=C32","(R)-1-(3,4-dihydroxybenzyl)-1,2,3,4-tetrahydroisoquinoline-6,7-diol","288.12",NA,NA,NA,NA,NA,NA,27702
"493","ABXZOXDTHTTZJW-UHFFFAOYSA-N","PB005923","Tetrahydropapaveroline","288.123034024",287.115758037,NA,NA,NA,"FDB008796",NA,28770
"521","ACAAVKGSTVOIQB-BASWHVEKSA-N","O=C1C(OC=2C=C(O)C=C(O)C12)=CC3=CC(O)=C(O)C(O)=C3","Bracteatin","325.031860351562",NA,NA,"DTXSID60415090",NA,NA,NA,NA
"523","ACAAVKGSTVOIQB-BASWHVEKSA-N","O=C1C(OC=2C=C(O)C=C(O)C12)=CC3=CC(O)=C(O)C(O)=C3","Bracteatin","320.076477050781",NA,NA,"DTXSID60415090",NA,NA,NA,NA
