"","inchikey","id","name","precursormz","CHEBI_ID"
"1","AAGCATAPYOEULE-LHHMAMHXSA-N","PM012925","Matairesinoside","519",132820
"2","AAWZDTNXLSGCEK-WYWMIBKRSA-N","MSBNK-Keio_Univ-KO001749","Quinate","191",17521
"3","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","D-(-)-Quinic acid; LC-ESI-QTOF; MS2; CE","191.056112",17521
"5","AAWZDTNXLSGCEK-WYWMIBKRSA-N","VF-NPL-LTQ000448","D-(−)-Quinic acid","191.10658819025213",17521
"7","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","190.973994731903",17521
"29","ABOVRDBEJDIBMZ-UHFFFAOYSA-N","C1=CC(=C(C=C1N=C(NC=2C=CC(=C(C2)C(F)(F)F)Cl)O)C(F)(F)F)Cl","Flucofuron","414.98451084783",59242
"32","ABRULANJVVJLFI-DGHBBABESA-N","O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4","Swertisin","445.104",131838
"33","ABVCUBUIXWJYSE-GQUPQBGVSA-O","MSBNK-RIKEN-PR100672","Callistephin","431.09784",31967
"39","ABVCUBUIXWJYSE-GQUPQBGVSA-O","OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","Callistephin; LC-ESI-QTOF; MS2; CE","449.108386",31967
"52","ACGUYXCXAPNIKK-UHFFFAOYSA-N","MSBNK-LCSB-LU130754","Hexachlorophene","402.8426",5693
"70","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026949","Ubidecarenone","861.6765747070312",46245
"76","ACWBBAGYTKWBCD-ZETCQYMHSA-N","FiehnHILIC000951","3-Chlorotyrosine","214.0272",53678
"80","ACWBBAGYTKWBCD-ZETCQYMHSA-N","FiehnHILIC002496","3-Chlorotyrosine","214.0289",53678
"84","ACWBBAGYTKWBCD-ZETCQYMHSA-N","N[C@@H](CC1=CC(Cl)=C(O)C=C1)C(O)=O","3-Chloro-L-tyrosine; LC-ESI-QTOF; MS2; CE","214.027644",53678
"90","ACWBQPMHZXGDFX-QFIPXVFZSA-N","MSBNK-Eawag-EA258362","Valsartan","434.2198",9927
"108","ACWBQPMHZXGDFX-QFIPXVFZSA-N","FiehnHILIC001571","Valsartan","434.2193",9927
"134","ACWBQPMHZXGDFX-QFIPXVFZSA-N","FiehnHILIC003046","Valsartan","434.2179",9927
"144","ADEBPBSSDYVVLD-UHFFFAOYSA-N","FiehnHILIC002674","Donepezil","378.2027",145499
"148","ADFWQBGTDJIESE-UHFFFAOYSA-N","O=C(O)C=1C(O)=CC=CC1CCCCCCCCCCCCCCC","2-hydroxy-6-pentadecylbenzoic acid","347.258",2696
"149","ADIMAYPTOBDMTL-UHFFFAOYSA-N","MSBNK-LCSB-LU079952","Oxazepam","285.0436",7823
"185","ADPBTBPPIIKLEH-UHFFFAOYSA-N","VF-NPL-LTQ005849","altenusin","289.1111580984933",141340
"187","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","289.071746826172",141340
"198","ADVGKWPZRIDURE-UHFFFAOYSA-N","LU069552","2-Acetamidophenol","150.0561",143107
"210","ADVPTQAUNPRNPO-REOHCLBHSA-N","MoNA033851","3-SULFINO-ALANINE","152.0023027",16345
"211","ADVPTQAUNPRNPO-REOHCLBHSA-N","KNA00721","3-Sulfino-L-alanine","152.0",16345
"221","ADVPTQAUNPRNPO-REOHCLBHSA-N","EMBL-MCF_spec35274","3-SULFINO-L-ALANINE","152.001172833147",16345
"235","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","O=C1C2=CC(O)=C(O)C=C2OC3=CC(O)=C(C(O)=C13)C4OC(CO)C(O)C(O)C4O","NCGC00384833-01!1,3,6,7-tetrahydroxy-2-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one","421.078",6682
"240","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","VF-NPL-LTQ006688","Mangiferin","421.1504760742188",6682
"245","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","O=C1C2=CC(O)=C(O)C=C2OC3=CC(O)=C(C(O)=C13)C4OC(CO)C(O)C(O)C4O","Mangiferin","421.1",6682
"247","AEKQMJRJRAHOAP-CYBMUJFWSA-N","LU039351","Fabesetron","292.1455",31588
"259","AEMOLEFTQBMNLQ-AQKNRBDQSA-N","KO000814","Glucuronate","193",47952
"262","AEMOLEFTQBMNLQ-AQKNRBDQSA-N","PT211470","D-Glucuronic acid","193.03485",47952
"277","AEMOLEFTQBMNLQ-BKBMJHBISA-N","MoNA023971","GALACTURONATE","193.03535000000002",33885
"279","AEMOLEFTQBMNLQ-WAXACMCWSA-N","MoNA035334","GLUCURONIC ACID","193.0353767",42717
"289","AEMOLEFTQBMNLQ-YMDCURPLSA-N","MSBNK-RIKEN-PR100504","D(+)-Galacturonic acid","193.03485",4153
"295","AEMRFAOFKBGASW-UHFFFAOYSA-N","KO000834","Glycolate","75",17497
"296","AEMRFAOFKBGASW-UHFFFAOYSA-N","FiehnHILIC001234","Glycolic acid","75.00754",17497
"299","AEMRFAOFKBGASW-UHFFFAOYSA-N","MoNA017753","Glycolic acid; LC-tDDA; CE10","75.0087661743164",17497
"303","AEMRFAOFKBGASW-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS023607","Hydroxyacetic acid","74.96",17497
"309","AEOCXXJPGCBFJA-UHFFFAOYSA-N","MSBNK-LCSB-LU104554","Ethionamide","165.0492",4885
"310","AEOCXXJPGCBFJA-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO000722","Ethionamide","165",4885
"331","AETKQQBRKSELEL-ZHACJKMWSA-N","O=C(C=CC=1C=CC=CC1)C=2C=CC=CC2O","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","223.076446533203",27916
"333","AETKQQBRKSELEL-ZHACJKMWSA-N","VF-NPL-QTOF001829","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","223.0765",27916
"337","AETKQQBRKSELEL-ZHACJKMWSA-N","VF-NPL-LTQ002970","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","223.06334018707275",27916
"346","AETKQQBRKSELEL-ZHACJKMWSA-N","PM002201","O-Hydroxychalcone","223",27916
"348","AEWHYWSPVRZHCT-NDZSKPAWSA-N","PR100574","Isobutyryl coenzyme A","836.14927",15479
"349","AEWHYWSPVRZHCT-NDZSKPAWSA-N","CC(C)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12","Isobutyryl coenzyme A; LC-ESI-QTOF; MS2; CE","836.149797",15479
"354","AFCGFAGUEYAMAO-UHFFFAOYSA-N","MSBNK-Eawag-EA284857","Acamprosate","180.0336",51041
"394","AFDXODALSZRGIH-UHFFFAOYSA-N","RIKENPlaSMA005769","4-Methoxycinnamic acid","177.05571774783",48541
"420","AFENDNXGAFYKQO-UHFFFAOYSA-N","CCMSLIB00000578291","2-HYDROXYBUTYRIC ACID","103.04",1148
"421","AFENDNXGAFYKQO-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS021907","DL-alpha-Hydroxybutyric acid barium salt","103.03",1148
"422","AFENDNXGAFYKQO-UHFFFAOYSA-N","MT000034","DL-alpha-Hydroxybutyric acid","103.1",1148
"426","AFENDNXGAFYKQO-VKHMYHEASA-N","MoNA037958","2-HYDROXYBUTYRIC ACID","103.0400681",50613
"432","AFENDNXGAFYKQO-VKHMYHEASA-N","EMBL-MCF_spec64954","2-HYDROXYBUTYRIC ACID","103.038598872944",50613
"436","AFHJQYHRLPMKHU-WEZNYRQKSA-N","VF-NPL-QEHF026737","Aloin","417.1191101074219",74131
"442","AFSDNFLWKVMVRB-UHFFFAOYSA-N","O=C1OC2=C(O)C(O)=CC=3C(=O)OC=4C(O)=C(O)C=C1C4C23","Ellagic acid","300.99899070083",4775
