"","inchikey","id","name","precursormz","CHEBI_ID"
"4","AAEVYOVXGOFMJO-UHFFFAOYSA-N","LU086103","Prometryn","242.1434",26276
"74","AAOVKJBEBIDNHE-UHFFFAOYSA-N","EA262606","Diazepam","285.0789",49575
"90","AAOVKJBEBIDNHE-UHFFFAOYSA-N","FiehnHILIC000304","Diazepam","285.0784",49575
"154","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","210.097213745117",17521
"155","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","231.026550292969",17521
"156","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","193.070663452148",17521
"157","AAWZDTNXLSGCEK-WYWMIBKRSA-N","O=C(O)C1(O)CC(O)C(O)C(O)C1","(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","215.052597045898",17521
"173","AAWZDTNXLSGCEK-WYWMIBKRSA-N","VF-NPL-LTQ000446","D-(−)-Quinic acid","231.052310943604",17521
"183","ABBKOIZWGCVCKE-UHFFFAOYSA-N","CC(C)C1=CC=C(NC(O)=N)C=C1","Isoproturon-didemethyl; LC-ESI-ITFT; MS2; CE","179.11789",83514
"231","ABRULANJVVJLFI-DGHBBABESA-N","O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4","Swertisin","447.13",131838
"232","ABRULANJVVJLFI-DGHBBABESA-N","O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4","Swertisin","469.11",131838
"285","ABSDACFLIMOXJY-UHFFFAOYSA-O","PM012201","Tembetarine","344",136682
