ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,No. of cases,No. of controls,Biospecimen,Analytical method,Biomarker,Biomarker detail,Cancer,Study design,Publication
1,20999,All,Renal cell carcinoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",448,224,224,"Serum, fasting",Competitive protein-binding assay (CPBA),Folates,"",Kidney cancer,Nested case-control study,Gibson 2010
6,21004,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Bakker 2016
7,21005,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,beta-Carotene,"",Breast cancer,Nested case-control study,Bakker 2016
8,21006,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,Lycopene,"",Breast cancer,Nested case-control study,Bakker 2016
9,21007,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,Lutein,"",Breast cancer,Nested case-control study,Bakker 2016
10,21008,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,Zeaxanthin,"",Breast cancer,Nested case-control study,Bakker 2016
11,21009,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Bakker 2016
12,21010,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,Retinol,"",Breast cancer,Nested case-control study,Bakker 2016
13,21011,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Breast cancer,Nested case-control study,Bakker 2016
14,21012,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",HPLC,gamma-Tocopherol,"",Breast cancer,Nested case-control study,Bakker 2016
15,21013,All,Breast cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),3004,1502,1502,"Plasma, fasting and non-fasting",Colorimetry,Vitamin C,"",Breast cancer,Nested case-control study,Bakker 2016
36,21035,All,Liver cancer cases,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",29046,208,,"Serum, fasting",HPLC,alpha-Tocopherol,"",Liver cancer,Prospective cohort study,Lai 2014
37,21036,All,Liver cancer cases,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",29046,208,,"Serum, fasting",HPLC,beta-Carotene,"",Liver cancer,Prospective cohort study,Lai 2014
38,21037,All,Liver cancer cases,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",29046,208,,"Serum, fasting",HPLC,Retinol,"",Liver cancer,Prospective cohort study,Lai 2014
39,21038,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,alpha-Carotene,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
40,21039,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,beta-Carotene,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
41,21040,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,Lycopene,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
42,21041,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
43,21043,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,Zeaxanthin,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
44,21044,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,Lutein,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
45,21045,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
46,21046,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,gamma-Tocopherol,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
47,21048,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",Colorimetry,Vitamin C,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
48,21047,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,Retinol,"",Pancreatic cancer,Nested case-control study,Jeurnink 2015
51,21050,All,Renal cell carcinoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",448,224,224,"Serum, fasting",Tyrosine decarboxylase apoenzyme assay,Pyridoxal 5'-phosphate,"",Kidney cancer,Nested case-control study,Gibson 2010
52,21049,All,Renal cell carcinoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",448,224,224,"Serum, fasting",Competitive protein-binding assay (CPBA),Vitamin B12,"",Kidney cancer,Nested case-control study,Gibson 2010
53,21051,All,Renal cell carcinoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",448,224,224,"Serum, fasting",HPLC,Riboflavin,"",Kidney cancer,Nested case-control study,Gibson 2010
54,21052,All,Renal cell carcinoma cases and their controls,Finland,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",448,224,224,"Serum, fasting",HPLC,Homocysteine,"",Kidney cancer,Nested case-control study,Gibson 2010
58,21064,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,Canthaxanthin,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
59,21065,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,alpha-Carotene,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
60,21066,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,beta-Carotene,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
61,21067,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
62,21068,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,Lutein,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
