ID,Parent ID,Depth,Subject group,Population,Country,Cohort,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Measurement size,Detected (nb),Detected (%),Detected only?,Arithmetic mean,Arithmetic SD,Geometric mean,Geometric SD,Min,Min (detected),Percentile_05,Percentile_10,Percentile_25,Median,Percentile_75,Percentile_90,Percentile_95,Max,Interquartile range,Mean 95% CI lower,Mean 95% CI upper,GMean 95% CI lower,GMean 95% CI upper,Unit,Converted arithmetic mean,Converted geometric mean,Converted median,Converted unit,Adjustment type,Adjusted on,Regressed on,Expressed as,Publication
1,,0,All [by creatinine],Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",928,,,,,,,,,,,,113.3,151.0,199.8,,,,,,,,,mg/day,,,151.00,mg/day,Crude,,,Gallic acid,Zamora-Ros 2011
23,,0,All [by creatinine],Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",928,,,,,,,,,,,,117.8,156.6,213.2,,,,,,,,,mg/g,,,156600.00,ug/g,Density,Creatinine,,Gallic acid,Zamora-Ros 2011
26,,0,Quartile 1 (Creatinine excretion: 41.0 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,120.3,159.5,211.7,,,,,,,,,mg/day,,,159.50,mg/day,Crude,,,Gallic acid,Zamora-Ros 2011
27,,0,Quartile 1 (Creatinine excretion: 41.0 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,178.4,216.0,269.0,,,,,,,,,mg/g,,,216000.00,ug/g,Density,Creatinine,,Gallic acid,Zamora-Ros 2011
31,,0,Quartile 2 (Creatinine excretion: 65.0 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,137.4,166.9,207.2,,,,,,,,,mg/g,,,166900.00,ug/g,Density,Creatinine,,Gallic acid,Zamora-Ros 2011
32,,0,Quartile 2 (Creatinine excretion: 65.0 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,123.3,165.7,210.3,,,,,,,,,mg/day,,,165.70,mg/day,Crude,,,Gallic acid,Zamora-Ros 2011
904,,0,Quartile 3 (Creatinine excretion: 84.5 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,111.0,151.3,184.8,,,,,,,,,mg/day,,,151.30,mg/day,Crude,,,Gallic acid,Zamora-Ros 2011
906,,0,Quartile 3 (Creatinine excretion: 84.5 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,109.0,128.7,162.8,,,,,,,,,mg/g,,,128700.00,ug/g,Density,Creatinine,,Gallic acid,Zamora-Ros 2011
905,,0,Quartile 4 (Creatinine excretion: 127.3 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,102.9,129.2,172.4,,,,,,,,,mg/day,,,129.20,mg/day,Crude,,,Gallic acid,Zamora-Ros 2011
907,,0,Quartile 4 (Creatinine excretion: 127.3 mg/dl),Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",232,,,,,,,,,,,,86.9,106.2,133.9,,,,,,,,,mg/g,,,106200.00,ug/g,Density,Creatinine,,Gallic acid,Zamora-Ros 2011
