ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,Intake Time definition,Intake Assessment method,Intake,Intake detail,Supplement intakes included?,Intake Arithmetic mean,Intake Geometric mean,Intake Median,Intake Unit,Intake Adjusted on,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Biomarker Arithmetic mean,Biomarker Geometric mean,Biomarker Median,Biomarker Unit,Biomarker Adjusted on,Correlation size,Correlation type,Correlation value,Correlation 95% CI lower,Correlation 95% CI upper,Correlation p-value,Significant?,Measurement adjustment,Deattenuated?,Covariates,Publication
3,25,1,All [by creatinine],Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),baseline,Food Frequency Questionnaire (FFQ),Polyphenols,"",,,,436.6,mg/day,,,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",,,151.0,mg/day,,928,Pearson,0.211,,,< 0.001,Yes,,,,Zamora-Ros 2011
4,25,23,All [by creatinine],Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),baseline,Food Frequency Questionnaire (FFQ),Polyphenols,"",,,,436.6,mg/day,,,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",,,156.6,mg/g,Creatinine,928,Pearson,0.014,,,= 0.692,No,,,,Zamora-Ros 2011
5,25,23,All [by creatinine],Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),baseline,Food Frequency Questionnaire (FFQ),Polyphenols,"",,,,436.6,mg/day,,,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",,,156.6,mg/g,Creatinine,928,Pearson,0.113,,,= 0.002,Yes,,,"Age, Sex, Physical activity, BMI, Energy, Renal function",Zamora-Ros 2011
6,25,1,All [by creatinine],Elderly subjects,Italy,InCHIANTI (Invecchiare in Chianti),baseline,Food Frequency Questionnaire (FFQ),Polyphenols,"",,,,436.6,mg/day,,,"Urine, 24-h",Folin-Ciocalteu,Polyphenols,"",,,151.0,mg/day,,928,Pearson,0.164,,,< 0.001,Yes,,,"Age, Sex, Physical activity, BMI, Energy, Renal function",Zamora-Ros 2011
7,34,118,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,24-h Dietary recall (1-day),Genistein,"",,,30.6,,nmol/day,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,76,Pearson,0.43,,,< 0.001,Yes,,,,Atkinson 2002
8,35,119,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,24-h Dietary recall (1-day),Daidzein,"",,,23.0,,nmol/day,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,76,Pearson,0.49,,,< 0.001,Yes,,,,Atkinson 2002
9,35,122,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,24-h Dietary recall (1-day),Daidzein,"",,,23.0,,nmol/day,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol + O-Desmethylangolensin,,,,nmol/mg,Creatinine,76,Pearson,0.55,,,< 0.001,Yes,,,,Atkinson 2002
10,124,44,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,24-h Dietary recall (1-day),Isoflavones,Genistein + Daidzein,,,,,nmol/day,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + O-Desmethylangolensin,,3.4,,nmol/mg,Creatinine,76,Pearson,0.53,,,< 0.001,Yes,,,,Atkinson 2002
11,42,120,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Genistein,"",,,24.7,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,105,Pearson,0.31,,,< 0.01,Yes,,,,Atkinson 2002
12,43,121,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Daidzein,"",,,17.8,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,105,Pearson,0.24,,,= 0.01,Yes,,,,Atkinson 2002
13,43,123,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Daidzein,"",,,17.8,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol + O-Desmethylangolensin,,,,nmol/mg,Creatinine,105,Pearson,0.28,,,< 0.01,Yes,,,,Atkinson 2002
14,125,45,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Isoflavones,Genistein + Daidzein,,,,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + O-Desmethylangolensin,,1.4,,nmol/mg,Creatinine,105,Pearson,0.29,,,< 0.01,Yes,,,,Atkinson 2002
