ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,Intake Assessment method,Intake,Intervention dose,Biospecimen,Analytical method,Biomarker,Structural identification,Feature selection,Area under curve,Sensitivity,Specificity,PLS-DA VIP,Beta coefficient,Beta coefficient p-value,ANOVA p-value,Publication
6,20525,20526,All,Volunteers from Newcastle University,United Kingdom,MEDE (MEtabolomics to characterise Dietary Exposure),12,Food Frequency Questionnaire (FFQ),Citrus fruits,,"Urine, overnight",Mass spectrometry (MS),Proline betaine,"Accurate masses queried against MZedDB, fragmentation analysis (FT-ICR-MS and FIE-MS/MS) of commercial standards. Match with proline betaine standard.",Random forest (significant at IS > 0.002) ; ROC (significant at AUC > 0.90) ; Welch's t-test with p-value correction (significant at p < 1x10-5),= 97.7,= 92.2,= 74.1,,,,,Lloyd 2011
7,20525,20527,All,Volunteers from Newcastle University,United Kingdom,MEDE (MEtabolomics to characterise Dietary Exposure),12,Food Frequency Questionnaire (FFQ),Citrus fruits,,"Urine, spot",Mass spectrometry (MS),Proline betaine,"Accurate masses queried against MZedDB, fragmentation analysis (FT-ICR-MS and FIE-MS/MS) of commercial standards. Match with proline betaine standard.",Random forest (significant at IS > 0.002) ; ROC (significant at AUC > 0.90) ; Welch's t-test with p-value correction (significant at p < 1x10-5),= 97.6,= 89.2,= 79.6,,,,,Lloyd 2011
8,20528,20529,All,Volunteers fed a standardized test breakfast containing orange juice,United Kingdom,MEDE (MEtabolomics to characterise Dietary Exposure),12,Intervention,Orange juice,Standardized test breakfast containing 200 ml orange juice,"Urine, spot",Mass spectrometry (MS),Proline betaine,"Accurate masses queried against MZedDB, fragmentation analysis (FT-ICR-MS and FIE-MS/MS) of commercial standards. Match with proline betaine standard.",Random forest (significant at IS > 0.002) ; ROC (significant at AUC > 0.90) ; Welch's t-test with p-value correction (significant at p < 1x10-5), , , ,,,,,Lloyd 2011
9,20530,20532,All,Participants in a vitamin D3 intervention study clustered in 3 dietary patterns,Ireland,,160,Weighed Dietary record (3-day),Red meat,,"Urine, first morning spot",NMR,Acetylcarnitine,Identification with in-house libraries of pure metabolites and the Chenomx database library,PCA ; PLS-DA (significant at VIP > 1.5) ; Linear regression, ,= 80.0,= 81.8,2.07,0.312,< 0.001,,O'Sullivan 2011
10,20531,20533,All,Participants in a vitamin D3 intervention study clustered in 3 dietary patterns,Ireland,,160,Weighed Dietary record (3-day),Vegetables,,"Urine, first morning spot",NMR,Phenylacetylglutamine,Identification with in-house libraries of pure metabolites and the Chenomx database library,PCA ; PLS-DA (significant at VIP > 1.5) ; Linear regression, , , ,1.78,0.222,< 0.01,,O'Sullivan 2011
11,20534,20543,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Strawberry,,"Urine, 24-h",LC-MS,"2,5-Dimethyl-4-methoxy-3(2H)-furanone sulfate","RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level IV (unknown compounds and compounds that could not fit into the other categories).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
12,20535,20544,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Citrus fruits,,"Urine, 24-h",LC-MS,Proline betaine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
13,20535,20545,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Citrus fruits,,"Urine, 24-h",LC-MS,Hesperetin glucuronide,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
14,20536,20546,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Beetroot,,"Urine, 24-h",LC-MS,4-Ethyl-5-amino-pyrocatechol sulfate,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level III (identification is based on similarities to known compound classes).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 70.0,> 80.0,,,,,Andersen 2014
15,20536,20547,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Beetroot,,"Urine, 24-h",LC-MS,4-Ethyl-5-methylamino-pyrocatechol sulfate,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level IV (unknown compounds and compounds that could not fit into the other categories).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
