ID,Title,First author,Authors,Year,Journal,Volume,Issue,Pages,PubMed ID,DOI,Study design,No. of Biomarkers,No. of Intake values,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
1,Comparison of 24-h volume and creatinine-corrected total urinary polyphenol as a biomarker of total dietary polyphenols in the Invecchiare InCHIANTI study,Zamora-Ros,"Zamora-Ros, R.; Rabassa, M.; Cherubini, A.; Urpi-Sarda, M.; Llorach, R.; Bandinelli, S.; Ferrucci, L.; Andres-Lacueva, C.",2011,Anal Chim Acta,704,1-2,110-115,21907027,10.1016/j.aca.2011.07.035,Observation,1,5,10,0,4,0,0
2,"Overnight urinary isoflavone excretion in a population of women living in the United States, and its relationship to isoflavone intake",Atkinson,"Atkinson, C.; Skor, H. E.; Fitzgibbons, E. D.; Scholes, D.; Chen, C.; Wahala, K.; Schwartz, S. M.; Lampe, J. W.",2002,Cancer Epidemiol Biomarkers Prev,11,3,253-260,11895874,,Observation,5,14,4,0,16,0,0
3,Phyto-oestrogen intake in Scottish men: use of serum to validate a self-administered food-frequency questionnaire in older men,Heald,"Heald, C. L.; Bolton-Smith, C.; Ritchie, M. R.; Morton, M. S.; Alexander, F. E.",2006,Eur J Clin Nutr,60,1,129-135,16205743,10.1038/sj.ejcn.1602277,Observation,4,1,5,0,5,0,0
12,Overnight urinary excretion of isoflavones as an indicator for dietary isoflavone intake in Korean girls of pubertal age,Kim,"Kim, J.; Kim, H. J.; Joung, H.; Park, M. K.; Li, S.; Song, Y.; Franke, A. A.; Paik, H. Y.",2010,Br J Nutr,104,5,709-715,20385037,10.1017/S0007114510000978,Observation,8,8,16,0,36,0,0
13,Fasting plasma concentrations of selected flavonoids as markers of their ordinary dietary intake,Radtke,"Radtke, J.; Linseisen, J.; Wolfram, G.",2002,Eur J Nutr,41,5,203-209,12395214,10.1007/s00394-002-0377-z,Observation,6,8,4,0,72,0,0
14,Food frequency questionnaires and overnight urines are valid indicators of daidzein and genistein intake in U.S. women relative to multiple 24-h urine samples,Tseng,"Tseng, M.; Olufade, T.; Kurzer, M. S.; Wahala, K.; Fang, C. Y.; van der Schouw, Y. T.; Daly, M. B.",2008,Nutr Cancer,60,5,619-626,18791925,10.1080/01635580801993751,Observation,5,4,10,0,4,0,0
15,"Urine flavonoids and plasma carotenoids in the validation of fruit, vegetable and tea intake during pregnancy in the Norwegian Mother and Child Cohort Study (MoBa)",Brantsaeter,"Brantsaeter, A. L.; Haugen, M.; Rasmussen, S. E.; Alexander, J.; Samuelsen, S. O.; Meltzer, H. M.",2007,Public Health Nutr,10,8,838-847,17493318,10.1017/S1368980007339037,Observation,23,42,0,0,140,0,0
18,Comparison of standard methods for assessing dietary intake of benzo[a]pyrene,Deziel,"Deziel, N. C.; Strickland, P. T.; Platz, E. A.; Abubaker, S.; Buckley, T. J.",2011,Cancer Epidemiol Biomarkers Prev,20,5,962-970,21430297,10.1158/1055-9965.EPI-10-1344,Observation,1,6,2,0,6,0,0
19,Plasma alkylresorcinol metabolites as potential biomarkers of whole-grain wheat and rye cereal fibre intakes in women,Aubertin-Leheudre,"Aubertin-Leheudre, M.; Koskela, A.; Samaletdin, A.; Adlercreutz, H.",2010,Br J Nutr,103,3,339-343,19874633,10.1017/S0007114509992315,Observation,3,2,3,0,12,0,0
20,Plasma and urinary phyto-oestrogens as biomarkers of intake: validation by duplicate diet analysis,Ritchie,"Ritchie, M. R.; Morton, M. S.; Deighton, N.; Blake, A.; Cummings, J. H.",2004,Br J Nutr,91,3,447-457,15005831,10.1079/BJN20031062,Observation,3,6,6,0,2,0,0
