ID,Excretion ID,Subject group,Population,Country,Cohort,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Arithmetic mean,Geometric mean,Median,Unit,Adjusted on,Reproducibility size,ICC,ICC 95% CI lower,ICC 95% CI upper,CV% WS,CV% BS,VAR WS,VAR BS,Publication
1,695,All,Women participant in the hormone stability study,United States,NHS (Nurses' Health Study),1 year; 2.8 years,"Urine, first morning spot",GC-MS after enzymatic hydrolysis,"3,5-Dihydroxybenzoic acid","",,,,umol/L,,95,0.17,0.05,0.43,58.8,27.1,,,Landberg 2012
2,696,All,Women participant in the hormone stability study,United States,NHS (Nurses' Health Study),1 year; 2.8 years,"Urine, first morning spot",GC-MS after enzymatic hydrolysis,"3,5-DHPPA","",,,,umol/L,,95,0.31,0.17,0.51,50.1,34.2,,,Landberg 2012
3,697,All,Women participant in the hormone stability study,United States,NHS (Nurses' Health Study),1 year; 2.8 years,"Urine, first morning spot",GC-MS after enzymatic hydrolysis,Alkylresorcinol metabolites,"3,5-Dihydroxybenzoic acid + 3,5-DHPPA",,,,umol/L,,95,0.21,0.08,0.45,54.1,28.4,,,Landberg 2012
4,1067,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,5-n-Heptadecylresorcinol (C17:0),"",,,,nmol/L,,51,0.53,0.34,0.71,,,,,Andersson 2011
5,1068,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,5-n-Nonadecylresorcinol (C19:0),"",,,,nmol/L,,51,0.52,0.33,0.71,,,,,Andersson 2011
6,1069,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,5-n-Heneicosylresorcinol (C21:0),"",,,,nmol/L,,51,0.51,0.31,0.7,,,,,Andersson 2011
7,1070,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,5-n-Tricosylresorcinol (C23:0),"",,,,nmol/L,,51,0.42,0.22,0.65,,,,,Andersson 2011
8,1071,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,5-n-Pentacosylresorcinol (C25:0),"",,,,nmol/L,,51,0.38,0.19,0.63,,,,,Andersson 2011
9,1072,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,Alkylresorcinols,5-n-Heptadecylresorcinol (C17:0) + 5-n-Nonadecylresorcinol (C19:0) + 5-n-Heneicosylresorcinol (C21:0) + 5-n-Tricosylresorcinol (C23:0) + 5-n-Pentacosylresorcinol (C25:0) + 5-n-Heptadecylresorcinol (C17:0) / 5-n-Heneicosylresorcinol (C21:0),,,,nmol/L,,51,0.47,0.27,0.67,,,,,Andersson 2011
10,1073,All,Adults from the university campus area in Uppsala,Sweden,,baseline; 3 months,"Plasma, fasting",GC-MS,5-n-Heptadecylresorcinol (C17:0) / 5-n-Heneicosylresorcinol (C21:0),"",,,,without unit,,51,0.53,0.35,0.72,,,,,Andersson 2011
29,740,All,Postmenopausal women,United States,,baseline; 1 week,"Plasma, fasting",LC-MS after enzymatic hydrolysis,Genistein,"",,12.2,10.9,nmol/L,,96,0.93,,,,,,,Frankenfeld 2003
30,741,All,Postmenopausal women,United States,,baseline; 1 week,"Plasma, fasting",LC-MS after enzymatic hydrolysis,Daidzein,"",,6.9,5.0,nmol/L,,96,0.92,,,,,,,Frankenfeld 2003
31,1767,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,25-Hydroxycholecalciferol,"",,,,missing unit,,38,0.98,,,,,,,Bowman 2011
32,1760,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,beta-Cryptoxanthin,"",,,,missing unit,,38,0.97,,,,,,,Bowman 2011
33,1766,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Vitamin B12,"",,,,missing unit,,38,0.97,,,,,,,Bowman 2011
34,1759,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Lutein/Zeaxanthin,"",,,,missing unit,,38,0.96,,,,,,,Bowman 2011
35,1757,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,alpha-Tocopherol,"",,,,missing unit,,38,0.95,,,,,,,Bowman 2011
36,1761,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,alpha-Carotene,"",,,,missing unit,,38,0.94,,,,,,,Bowman 2011
37,1763,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Lycopene,"",,,,missing unit,,38,0.92,,,,,,,Bowman 2011
38,1765,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Folates,"",,,,missing unit,,38,0.92,,,,,,,Bowman 2011
