id,legacy_id,"type","public_id","name",export,"state","annotation_quality","description","wikipedia_id","comments","dfc_id","duke_id","eafus_id","dfc_name","compound_source","metabolism","synthesis_citations","general_citations",creator_id,updater_id,"created_at","updated_at"
1,10930,"Nutrient","FDBN00001","Fat",0,NULL,"low",NULL,NULL,NULL,NULL,"FAT",NULL,NULL,"DUKE",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:42:10","2014-11-05 13:42:10"
2,10946,"Nutrient","FDBN00002","Proteins",0,NULL,"low",NULL,NULL,NULL,NULL,"PROTEIN|PROTEINS",NULL,NULL,"DUKE",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:42:15","2014-11-05 13:42:15"
3,16037,"Nutrient","FDBN00003","Carbohydrate",0,NULL,"low","Carbohydrates (or saccharides) are organic compounds with the empirical formula Cm(H2O)n. The carbohydrates  are divided into four chemical groupings: monosaccharides, disaccharides, oligosaccharides, and polysaccharides. The monosaccharides and disaccharides are commonly referred to as sugars. [Wikipedia]","Carbohydrate",NULL,NULL,"CARBOHYDRATE|CARBOHYDRATES",NULL,NULL,"DUKE",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:44:06","2014-11-05 13:44:06"
4,23404,"Nutrient","FDBN00004","Fatty acids",0,NULL,"low",NULL,NULL,NULL,NULL,"FATTY-ACIDS","1335",NULL,"EAFUS",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:46:00","2014-11-05 13:46:00"
5,11134,"Nutrient","FDBN00005","Fiber (dietary)",0,NULL,"low",NULL,NULL,NULL,NULL,"FIBER(DIETARY)",NULL,NULL,"DUKE",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:47:36","2014-11-05 13:47:36"
6,58893,"Nutrient","FDBN00006","13:0",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:49:16","2014-11-05 13:49:16"
7,58894,"Nutrient","FDBN00007","14:1",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:49:19","2014-11-05 13:49:19"
8,58895,"Nutrient","FDBN00008","15:1",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:49:38","2014-11-05 13:49:38"
9,58896,"Nutrient","FDBN00009","16:1 c",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:49:52","2014-11-05 13:49:52"
10,58897,"Nutrient","FDBN00010","16:1 t",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:49:59","2014-11-05 13:49:59"
11,58898,"Nutrient","FDBN00011","16:1 undifferentiated",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:50:04","2014-11-05 13:50:04"
12,58899,"Nutrient","FDBN00012","17:1",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:51:16","2014-11-05 13:51:16"
13,58900,"Nutrient","FDBN00013","18:1 c",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:51:34","2014-11-05 13:51:34"
14,58901,"Nutrient","FDBN00014","18:1 t",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:51:45","2014-11-05 13:51:45"
15,58902,"Nutrient","FDBN00015","18:1 undifferentiated",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:51:57","2014-11-05 13:51:57"
16,58903,"Nutrient","FDBN00016","18:2 CLAs",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:53:09","2014-11-05 13:53:09"
17,58904,"Nutrient","FDBN00017","18:2 i",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:53:16","2014-11-05 13:53:16"
18,58905,"Nutrient","FDBN00018","18:2 t not further defined",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:53:17","2014-11-05 13:53:17"
19,58906,"Nutrient","FDBN00019","18:2 t,t",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:53:23","2014-11-05 13:53:23"
20,58907,"Nutrient","FDBN00020","18:2 undifferentiated",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:53:26","2014-11-05 13:53:26"
21,58908,"Nutrient","FDBN00021","18:3 undifferentiated",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:54:38","2014-11-05 13:54:38"
22,58909,"Nutrient","FDBN00022","18:3i",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:55:48","2014-11-05 13:55:48"
23,58910,"Nutrient","FDBN00023","18:4",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:55:49","2014-11-05 13:55:49"
24,58911,"Nutrient","FDBN00024","20:1",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:56:45","2014-11-05 13:56:45"
25,58912,"Nutrient","FDBN00025","20:2 n-6 c,c",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:57:50","2014-11-05 13:57:50"
26,58913,"Nutrient","FDBN00026","20:3 n-3",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:58:07","2014-11-05 13:58:07"
27,58914,"Nutrient","FDBN00027","20:3 n-6",0,NULL,"low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TABLES",NULL,NULL,NULL,NULL,NULL,"2014-11-05 13:58:11","2014-11-05 13:58:11"
