id,"smpdb_id","kegg_map_id","name","created_at","updated_at"
1,"SMP00006","map00350","Tyrosine Metabolism","2015-02-23 22:40:48","2015-02-23 22:40:48"
2,"SMP00068","map00150","Androgen and Estrogen Metabolism","2015-02-23 22:40:58","2015-02-23 22:40:58"
3,"SMP00011","map00562","Inositol Metabolism","2015-02-23 22:41:14","2015-02-23 22:41:14"
4,"SMP00462","map00562","Inositol Phosphate Metabolism","2015-02-23 22:41:14","2015-02-23 22:41:14"
5,"SMP00012","map00350","Catecholamine Biosynthesis","2015-02-23 22:42:38","2015-02-23 22:42:38"
6,"SMP00008","map00360","Phenylalanine and Tyrosine Metabolism","2015-02-23 22:42:38","2015-02-23 22:42:38"
7,"SMP00019","","Transcription/Translation","2015-02-23 22:42:38","2015-02-23 22:42:38"
8,"SMP00028","map00232","Caffeine Metabolism","2015-02-23 22:42:49","2015-02-23 22:42:49"
9,"SMP00037","map00310","Lysine Degradation","2015-02-23 22:42:58","2015-02-23 22:42:58"
10,"SMP00016","map00640","Propanoate Metabolism","2015-02-23 22:43:04","2015-02-23 22:43:04"
11,"SMP00032","map00280","Valine, Leucine and Isoleucine Degradation","2015-02-23 22:43:04","2015-02-23 22:43:04"
12,"SMP00066","map00780","Biotin Metabolism","2015-02-23 22:43:17","2015-02-23 22:43:17"
13,"SMP00465","","Carnitine Synthesis","2015-02-23 22:43:17","2015-02-23 22:43:17"
14,"SMP00055","map00250","Alanine Metabolism","2015-02-23 22:43:32","2015-02-23 22:43:32"
15,"SMP00009","map00910","Ammonia Recycling","2015-02-23 22:43:32","2015-02-23 22:43:32"
16,"SMP00035","map00120","Bile Acid Biosynthesis","2015-02-23 22:43:32","2015-02-23 22:43:32"
17,"SMP00015","map00480","Glutathione Metabolism","2015-02-23 22:43:32","2015-02-23 22:43:32"
18,"SMP00004","map00260","Glycine and Serine Metabolism","2015-02-23 22:43:32","2015-02-23 22:43:32"
19,"SMP00033","map00270","Methionine Metabolism","2015-02-23 22:43:32","2015-02-23 22:43:32"
