"","accession","dname"
"1","HMDB0000001","Kidney disease"
"2","HMDB0000001","Early preeclampsia"
"3","HMDB0000001","Pregnancy"
"4","HMDB0000001","Late-onset preeclampsia"
"5","HMDB0000001","Alzheimer's disease"
"6","HMDB0000001","Obesity"
"7","HMDB0000001","Diabetes mellitus type 2"
"8","HMDB0000001","Propionic acidemia"
"9","HMDB0000001","Maple syrup urine disease"
"10","HMDB0000001","Eosinophilic esophagitis"
"11","HMDB0000002","Perillyl alcohol administration for cancer treatment"
"12","HMDB0000002","Colorectal cancer"
"13","HMDB0000002","Leukemia"
"14","HMDB0000005","Eosinophilic esophagitis"
"15","HMDB0000008","Colorectal cancer"
"16","HMDB0000008","Schizophrenia"
"17","HMDB0000008","Early preeclampsia"
"18","HMDB0000008","Pregnancy"
"19","HMDB0000008","Late-onset preeclampsia"
"20","HMDB0000008","Alzheimer's disease"
"21","HMDB0000008","Frontotemporal dementia"
"22","HMDB0000008","Lewy body disease"
"23","HMDB0000008","Pyruvate dehydrogenase deficiency"
"24","HMDB0000008","Eosinophilic esophagitis"
"25","HMDB0000008","Dihydrolipoamide Dehydrogenase Deficiency"
"26","HMDB0000010","Prolactinoma"
"27","HMDB0000011","Diabetes mellitus type 2"
"28","HMDB0000011","Obesity"
"29","HMDB0000011","Pancreatic cancer"
"30","HMDB0000011","Colorectal cancer"
"31","HMDB0000011","Schizophrenia"
"32","HMDB0000011","Early preeclampsia"
"33","HMDB0000011","Pregnancy"
"34","HMDB0000011","Late-onset preeclampsia"
"35","HMDB0000011","2-Ketoglutarate dehydrogenase complex deficiency"
"36","HMDB0000011","3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency"
"37","HMDB0000011","3-Hydroxyacyl-CoA dehydrogenase deficiency"
"38","HMDB0000011","Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency"
"39","HMDB0000011","Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency"
"40","HMDB0000011","Ketotic hypoglycemia"
"41","HMDB0000011","3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"
"42","HMDB0000011","Adrenal hyperplasia"
"43","HMDB0000011","congenital"
"44","HMDB0000011","due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
"45","HMDB0000011","Pyruvate dehydrogenase phosphatase deficiency"
"46","HMDB0000011","Carnitine palmitoyltransferase I deficiency"
"47","HMDB0000011","Anoxia"
"48","HMDB0000011","Meningitis"
"49","HMDB0000011","Ulcerative colitis"
"50","HMDB0000011","Crohn's disease"
"51","HMDB0000011","Alzheimer's disease"
"52","HMDB0000011","Frontotemporal dementia"
"53","HMDB0000011","Lewy body disease"
"54","HMDB0000011","Eosinophilic esophagitis"
"55","HMDB0000011","Medium Chain Acyl-CoA Dehydrogenase Deficiency"
"56","HMDB0000011","Fumarase deficiency"
"57","HMDB0000011","3-Hydroxyisobutyric acid dehydrogenase deficiency"
"58","HMDB0000011","3-Hydroxydicarboxylic aciduria"
"59","HMDB0000011","Pyruvate carboxylase deficiency"
"60","HMDB0000012","Thymidine phosphorylase deficiency"
"61","HMDB0000012","Colorectal cancer"
"62","HMDB0000012","Crohn's disease"
"63","HMDB0000012","Ulcerative colitis"
"64","HMDB0000012","Eosinophilic esophagitis"
"65","HMDB0000014","Crohn's disease"
"66","HMDB0000014","Ulcerative colitis"
"67","HMDB0000014","Colorectal cancer"
"68","HMDB0000015","11-beta-Hydroxylase deficiency"
"69","HMDB0000015","Sepsis"
"70","HMDB0000016","Congenital Adrenal Hyperplasia"
"71","HMDB0000016","due to 17-Hydroxylase-Deficiency"
"72","HMDB0000017","Crohn's disease"
"73","HMDB0000017","Iron deficiency"
