"","accession","keggmap"
"1","HMDB0000001","map00340"
"2","HMDB0000002","map00410"
"3","HMDB0000005","map00260"
"4","HMDB0000005","map00270"
"5","HMDB0000005","map00640"
"6","HMDB0000005","map00450"
"7","HMDB0000008","map00640"
"8","HMDB0000011","map00072"
"9","HMDB0000012","map00240"
"10","HMDB0000014","map00240"
"11","HMDB0000015","map00140"
"12","HMDB0000016","map00140"
"13","HMDB0000017","map00750"
"14","HMDB0000019","map00280"
"15","HMDB0000020","map00350"
"16","HMDB0000021","map00350"
"17","HMDB0000022","map00350"
"18","HMDB0000023","map00280"
"19","HMDB0000024","map00500"
"20","HMDB0000026","map00410"
"21","HMDB0000026","map00240"
"22","HMDB0000027","map00330"
"23","HMDB0000027","map00360"
"24","HMDB0000027","map00790"
"25","HMDB0000027","map00380"
"26","HMDB0000027","map00350"
"27","HMDB0000027","map00350"
"28","HMDB0000030","map00250"
"29","HMDB0000030","map00780"
"30","HMDB0000030","map00020"
"31","HMDB0000030","map00250"
"32","HMDB0000030","map00010"
"33","HMDB0000030","map00910"
"34","HMDB0000030","map00640"
"35","HMDB0000030","map00620"
"36","HMDB0000030","map00280"
"37","HMDB0000032","map00100"
"38","HMDB0000033","map00410"
"39","HMDB0000033","map00340"
"40","HMDB0000034","map00230"
"41","HMDB0000036","map00120"
"42","HMDB0000037","map00140"
"43","HMDB0000038","map00790"
"44","HMDB0000038","map00350"
"45","HMDB0000039","map00650"
"46","HMDB0000042","map00520"
"47","HMDB0000042","map00250"
"48","HMDB0000042","map00620"
"49","HMDB0000043","map00260"
"50","HMDB0000043","map00260"
"51","HMDB0000043","map00270"
"52","HMDB0000044","map00350"
"53","HMDB0000044","map00350"
"54","HMDB0000045","map00250"
"55","HMDB0000045","map00330"
"56","HMDB0000045","map00250"
"57","HMDB0000045","map00650"
"58","HMDB0000045","map00270"
"59","HMDB0000045","map00071"
"60","HMDB0000045","map00250"
"61","HMDB0000045","map00260"
"62","HMDB0000045","map00340"
"63","HMDB0000045","map00270"
"64","HMDB0000045","map00760"
"65","HMDB0000045","map00910"
"66","HMDB0000045","map00770"
"67","HMDB0000045","map00360"
"68","HMDB0000045","map00360"
"69","HMDB0000045","map00640"
"70","HMDB0000045","map00230"
"71","HMDB0000045","map00620"
"72","HMDB0000045","map00740"
"73","HMDB0000045","map00450"
"74","HMDB0000045","map00730"
"75","HMDB0000045","map00330"
"76","HMDB0000048","map00052"
"77","HMDB0000050","map00260"
"78","HMDB0000050","map00270"
"79","HMDB0000050","map00230"
"80","HMDB0000050","map00450"
"81","HMDB0000051","map00520"
"82","HMDB0000051","map00330"
"83","HMDB0000051","map00250"
"84","HMDB0000051","map00410"
"85","HMDB0000051","map00270"
"86","HMDB0000051","map00472"
"87","HMDB0000051","map00250"
"88","HMDB0000051","map00260"
"89","HMDB0000051","map00340"
"90","HMDB0000051","map00270"
"91","HMDB0000051","map00910"
"92","HMDB0000051","map00670"
"93","HMDB0000051","map00360"
"94","HMDB0000051","map00860"
"95","HMDB0000051","map00230"
"96","HMDB0000051","map00240"
"97","HMDB0000051","map00450"
"98","HMDB0000051","map00350"
"99","HMDB0000051","map00330"
"100","HMDB0000051","map00750"
"101","HMDB0000052","map00330"
"102","HMDB0000052","map00250"
"103","HMDB0000052","map00330"
"104","HMDB0000053","map00150"
"105","HMDB0000054","map00860"
"106","HMDB0000056","map00250"
"107","HMDB0000056","map00410"
"108","HMDB0000056","map00340"
"109","HMDB0000056","map00640"
"110","HMDB0000056","map00240"
"111","HMDB0000058","map00230"
"112","HMDB0000060","map00650"
"113","HMDB0000060","map00072"
"114","HMDB0000060","map00360"
"115","HMDB0000060","map00350"
"116","HMDB0000060","map00280"
"117","HMDB0000061","map00150"
"118","HMDB0000061","map00500"
"119","HMDB0000061","map00920"
"120","HMDB0000062","map01040"
"121","HMDB0000062","map00071"
"122","HMDB0000063","map00140"
"123","HMDB0000064","map00330"
"124","HMDB0000064","map00260"
"125","HMDB0000067","map00120"
"126","HMDB0000067","map00100"
"127","HMDB0000067","map00140"
"128","HMDB0000068","map00350"
"129","HMDB0000068","map00350"
"130","HMDB0000071","map00230"
"131","HMDB0000072","map00020"
"132","HMDB0000073","map00350"
"133","HMDB0000073","map00350"
"134","HMDB0000076","map00410"
"135","HMDB0000076","map00240"
"136","HMDB0000077","map00150"
"137","HMDB0000078","map00480"
"138","HMDB0000079","map00240"
"139","HMDB0000082","map00520"
"140","HMDB0000082","map00770"
"141","HMDB0000082","map00240"
"142","HMDB0000085","map00230"
"143","HMDB0000086","map00830"
"144","HMDB0000089","map00240"
"145","HMDB0000092","map00260"
"146","HMDB0000092","map00260"
"147","HMDB0000092","map00270"
"148","HMDB0000094","map00020"
"149","HMDB0000095","map00770"
