"","accession","omimid"
"1","HMDB0000001",104300
"2","HMDB0000001",601665
"3","HMDB0000001",125853
"4","HMDB0000001",606054
"5","HMDB0000001",248600
"6","HMDB0000001",610247
"7","HMDB0000002",114500
"8","HMDB0000005",610247
"9","HMDB0000008",114500
"10","HMDB0000008",181500
"11","HMDB0000008",104300
"12","HMDB0000008",600274
"13","HMDB0000008",312170
"14","HMDB0000008",610247
"15","HMDB0000008",246900
"16","HMDB0000010",600634
"17","HMDB0000011",125853
"18","HMDB0000011",231530
"19","HMDB0000011",201450
"20","HMDB0000012",603041
"21","HMDB0000012",114500
"22","HMDB0000012",266600
"23","HMDB0000012",610247
"24","HMDB0000014",266600
"25","HMDB0000014",114500
"26","HMDB0000015",202010
"27","HMDB0000016",202110
"28","HMDB0000017",114500
"29","HMDB0000017",266600
"30","HMDB0000017",610247
"31","HMDB0000019",114500
"32","HMDB0000019",248600
"33","HMDB0000020",181500
"34","HMDB0000020",114500
"35","HMDB0000020",266600
"36","HMDB0000020",211980
"37","HMDB0000020",182940
"38","HMDB0000020",610247
"39","HMDB0000020",606812
"40","HMDB0000020",261600
"41","HMDB0000022",168600
"42","HMDB0000022",300615
"43","HMDB0000023",125853
"44","HMDB0000023",114500
"45","HMDB0000023",236795
"46","HMDB0000023",610247
"47","HMDB0000024",250100
"48","HMDB0000026",222748
"49","HMDB0000026",114500
"50","HMDB0000030",114500
"51","HMDB0000030",167320
"52","HMDB0000030",126200
"53","HMDB0000030",610247
"54","HMDB0000031",181500
"55","HMDB0000032",607330
"56","HMDB0000032",270400
"57","HMDB0000033",104300
"58","HMDB0000033",266600
"59","HMDB0000033",212200
"60","HMDB0000033",610247
"61","HMDB0000034",114500
"62","HMDB0000034",266600
"63","HMDB0000034",104300
"64","HMDB0000034",600274
"65","HMDB0000034",610247
"66","HMDB0000036",114550
"67","HMDB0000036",114500
"68","HMDB0000036",266600
"69","HMDB0000036",210500
"70","HMDB0000037",203400
"71","HMDB0000037",202110
"72","HMDB0000037",613743
"73","HMDB0000037",601678
"74","HMDB0000037",241200
"75","HMDB0000037",602522
"76","HMDB0000037",613090
"77","HMDB0000037",214700
"78","HMDB0000037",615962
"79","HMDB0000037",201710
"80","HMDB0000037",604278
"81","HMDB0000038",114500
"82","HMDB0000039",266600
"83","HMDB0000039",114500
"84","HMDB0000039",212750
"85","HMDB0000039",209850
"86","HMDB0000039",180300
"87","HMDB0000039",610247
"88","HMDB0000042",126200
"89","HMDB0000042",266600
"90","HMDB0000042",114500
"91","HMDB0000042",212750
"92","HMDB0000042",209850
"93","HMDB0000042",138900
"94","HMDB0000042",211980
"95","HMDB0000042",207900
"96","HMDB0000042",606054
"97","HMDB0000042",276700
"98","HMDB0000042",261600
"99","HMDB0000042",248600
"100","HMDB0000042",610247
"101","HMDB0000043",114500
"102","HMDB0000043",181500
"103","HMDB0000043",613752
"104","HMDB0000043",266600
"105","HMDB0000043",260350
"106","HMDB0000043",170650
"107","HMDB0000043",104300
"108","HMDB0000043",600274
"109","HMDB0000043",211980
"110","HMDB0000043",207900
"111","HMDB0000043",606054
"112","HMDB0000043",261600
"113","HMDB0000043",248600
"114","HMDB0000043",610247
"115","HMDB0000043",605850
"116","HMDB0000044",271900
"117","HMDB0000044",610247
"118","HMDB0000045",104300
"119","HMDB0000045",114500
"120","HMDB0000045",266600
"121","HMDB0000045",600274
"122","HMDB0000050",266600
"123","HMDB0000050",114500
"124","HMDB0000050",104300
"125","HMDB0000050",600274
"126","HMDB0000050",610247
"127","HMDB0000050",614300
"128","HMDB0000050",103050
"129","HMDB0000051",210200
"130","HMDB0000051",207900
"131","HMDB0000051",272300
"132","HMDB0000051",246450
"133","HMDB0000051",606812
"134","HMDB0000051",608300
"135","HMDB0000051",215700
"136","HMDB0000051",603471
"137","HMDB0000051",231530
"138","HMDB0000051",611126
"139","HMDB0000051",222690
"140","HMDB0000051",557000
"141","HMDB0000051",219150
"142","HMDB0000051",616878
