CAS,InChIKey,Score
"100-00-5","CZGCEKJOLUNIFY-UHFFFAOYSA-N","1"
"100-01-6","TYMLOMAKGOJONV-UHFFFAOYSA-N","1"
"100-18-5","SPPWGCYEYAMHDT-UHFFFAOYSA-N","0"
"100-40-3","BBDKZWKEPDTENS-UHFFFAOYSA-N","1"
"100-41-4","YNQLUTRBYVCPMQ-UHFFFAOYSA-N","1"
"100-52-7","HUMNYLRZRPPJDN-UHFFFAOYSA-N","1"
"100-53-8","UENWRTRMUIOCKN-UHFFFAOYSA-N","0"
"100-54-9","GZPHSAQLYPIAIN-UHFFFAOYSA-N","1"
"100-69-6","KGIGUEBEKRSTEW-UHFFFAOYSA-N","0"
"100-70-9","FFNVQNRYTPFDDP-UHFFFAOYSA-N","1"
"10081-67-1","UJAWGGOCYUPCPS-UHFFFAOYSA-N","0"
"101-02-0","HVLLSGMXQDNUAL-UHFFFAOYSA-N","0"
"101-67-7","GQBHYWDCHSZDQU-UHFFFAOYSA-N","0"
"101-72-4","OUBMGJOQLXMSNT-UHFFFAOYSA-N","0"
"101-84-8","USIUVYZYUHIAEV-UHFFFAOYSA-N","0"
"101-96-2","FSWDLYNGJBGFJH-UHFFFAOYSA-N","0"
"10192-32-2","ZDLBWMYNYNATIW-UHFFFAOYSA-N","0"
"102-27-2","GUYMMHOQXYZMJQ-UHFFFAOYSA-N","0"
"102-77-2","MHKLKWCYGIBEQF-UHFFFAOYSA-N","0"
"102-77-2","MHKLKWCYGIBEQF-UHFFFAOYSA-N","0"
"102-77-2","MHKLKWCYGIBEQF-UHFFFAOYSA-N","0"
"103-34-4","FVIGODVHAVLZOO-UHFFFAOYSA-N","1"
"103-69-5","OJGMBLNIHDZDGS-UHFFFAOYSA-N","1"
"104-38-1","WTPYFJNYAMXZJG-UHFFFAOYSA-N","0"
"104-72-3","AHDDRJBFJBDEPW-UHFFFAOYSA-N","0"
"104-76-7","YIWUKEYIRIRTPP-UHFFFAOYSA-N","1"
"104-76-7","YIWUKEYIRIRTPP-UHFFFAOYSA-N","1"
"105-05-5","DSNHSQKRULAAEI-UHFFFAOYSA-N","1"
"105-08-8","BWVAOONFBYYRHY-UHFFFAOYSA-N","0"
"105-62-4","UMHYVXGZRGOICM-AUYXYSRISA-N","0"
"105-67-9","KUFFULVDNCHOFZ-UHFFFAOYSA-N","1"
"10595-60-5","CJAGRJAFLCPABV-GTLAIDDRSA-N","0"
"10595-72-9","XUPXMIAWKPTZLZ-UHFFFAOYSA-N","0"
"106-22-9","QMVPMAAFGQKVCJ-JTQLQIEISA-N","1"
"106-24-1","GLZPCOQZEFWAFX-YFHOEESVSA-N","1"
"106-25-2","GLZPCOQZEFWAFX-YFHOEESVSA-N","1"
"106-44-5","IWDCLRJOBJJRNH-UHFFFAOYSA-N","1"
