"accession","InChIKey","Name","PrecursorMZ","Ion_mode"
"MSBNK-AAFC-AC000944","PUZDIGQDECBVJT-FLTFDZFMSA-N","Fumonisin Py4","687.3603","NEGATIVE"
"MSBNK-AAFC-AC000936","GZCJIEXTWGJVIN-MKHOGIGVSA-N","Fumonisin Py2","703.3552","NEGATIVE"
"MSBNK-AAFC-AC000846","MBTAFMZUDOUGPS-CGKQSRJASA-N","Ctrinin hydrate","267.0879","NEGATIVE"
"MSBNK-AAFC-AC000655","WYYKRDVIBOEORL-JLCKPESSSA-N","Fumonisin B4","688.3919","NEGATIVE"
"MSBNK-AAFC-AC000533","HNMWDXUKPJZOQD-UHFFFAOYSA-N","Marticin","375.0727","NEGATIVE"
"MSBNK-AAFC-AC000427","CBGDIJWINPWWJW-IYSWYEEDSA-N","Citrinin","249.0774","NEGATIVE"
"MSBNK-AAFC-AC000680","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1192","NEGATIVE"
"MSBNK-AAFC-AC000878","KRQRRZFXHYYNSO-MTSZKFMLSA-N","Malformin A2","514.2169","NEGATIVE"
"MSBNK-AAFC-AC000935","ROPHOAFGZRNKDO-SNXTYUPGSA-N","Fumonisin La4","689.3759","NEGATIVE"
"MSBNK-AAFC-AC000534","HNMWDXUKPJZOQD-UHFFFAOYSA-N","Marticin","375.0727","NEGATIVE"
"MSBNK-AAFC-AC000885","GRFAWUZMBBQEMX-IJNZYEPRSA-N","Deoxynivalenol 3-glucuronide","471.1513","NEGATIVE"
"MSBNK-AAFC-AC000762","FNSQKFOXORBCCC-WBWZXODPSA-N","Viridicatumtoxin","564.188","NEGATIVE"
"MSBNK-AAFC-AC000941","PUZDIGQDECBVJT-FLTFDZFMSA-N","Fumonisin Py4","687.3603","NEGATIVE"
"MSBNK-AAFC-AC000652","ZRWPUFFVAOMMNM-UHFFFAOYSA-N","Patulin","153.0199","NEGATIVE"
"MSBNK-AAFC-AC000842","MBTAFMZUDOUGPS-CGKQSRJASA-N","Ctrinin hydrate","267.0879","NEGATIVE"
"MSBNK-AAFC-AC000937","GZCJIEXTWGJVIN-MKHOGIGVSA-N","Fumonisin Py2","703.3552","NEGATIVE"
"MSBNK-AAFC-AC000679","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1192","NEGATIVE"
"MSBNK-AAFC-AC000530","HNMWDXUKPJZOQD-UHFFFAOYSA-N","Marticin","375.0727","NEGATIVE"
"MSBNK-AAFC-AC000943","PUZDIGQDECBVJT-FLTFDZFMSA-N","Fumonisin Py4","687.3603","NEGATIVE"
"MSBNK-AAFC-AC000880","KRQRRZFXHYYNSO-MTSZKFMLSA-N","Malformin A2","514.2169","NEGATIVE"
"MSBNK-AAFC-AC000370","PUMXWMGECQIOGB-SMSDQXDJSA-N","Deoxynivalenol-3-glucoside","503.177","NEGATIVE"
"MSBNK-AAFC-AC000650","ZRWPUFFVAOMMNM-UHFFFAOYSA-N","Patulin","153.0199","NEGATIVE"
"MSBNK-AAFC-AC000371","PUMXWMGECQIOGB-SMSDQXDJSA-N","Deoxynivalenol-3-glucoside","503.177","NEGATIVE"
"MSBNK-AAFC-AC000844","MBTAFMZUDOUGPS-CGKQSRJASA-N","Ctrinin hydrate","267.0879","NEGATIVE"
"MSBNK-AAFC-AC000877","KRQRRZFXHYYNSO-MTSZKFMLSA-N","Malformin A2","514.2169","NEGATIVE"
"MSBNK-AAFC-AC000426","CBGDIJWINPWWJW-IYSWYEEDSA-N","Citrinin","249.0774","NEGATIVE"
"MSBNK-AAFC-AC000931","ROPHOAFGZRNKDO-SNXTYUPGSA-N","Fumonisin La4","689.3759","NEGATIVE"
"MSBNK-AAFC-AC000766","FNSQKFOXORBCCC-WBWZXODPSA-N","Viridicatumtoxin","564.188","NEGATIVE"
"MSBNK-AAFC-AC000763","FNSQKFOXORBCCC-WBWZXODPSA-N","Viridicatumtoxin","564.188","NEGATIVE"
"MSBNK-AAFC-AC000429","CBGDIJWINPWWJW-IYSWYEEDSA-N","Citrinin","249.0774","NEGATIVE"
"MSBNK-AAFC-AC000887","GRFAWUZMBBQEMX-IJNZYEPRSA-N","Deoxynivalenol 3-glucuronide","471.1513","NEGATIVE"
"MSBNK-AAFC-AC000653","ZRWPUFFVAOMMNM-UHFFFAOYSA-N","Patulin","153.0199","NEGATIVE"
"MSBNK-AAFC-AC000765","FNSQKFOXORBCCC-WBWZXODPSA-N","Viridicatumtoxin","564.188","NEGATIVE"
"MSBNK-AAFC-AC000879","KRQRRZFXHYYNSO-MTSZKFMLSA-N","Malformin A2","514.2169","NEGATIVE"
"MSBNK-AAFC-AC000881","KRQRRZFXHYYNSO-MTSZKFMLSA-N","Malformin A2","514.2169","NEGATIVE"
"MSBNK-AAFC-AC000764","FNSQKFOXORBCCC-WBWZXODPSA-N","Viridicatumtoxin","564.188","NEGATIVE"
"MSBNK-AAFC-AC000942","PUZDIGQDECBVJT-FLTFDZFMSA-N","Fumonisin Py4","687.3603","NEGATIVE"
"MSBNK-AAFC-AC000428","CBGDIJWINPWWJW-IYSWYEEDSA-N","Citrinin","249.0774","NEGATIVE"
"MSBNK-AAFC-AC000368","PUMXWMGECQIOGB-SMSDQXDJSA-N","Deoxynivalenol-3-glucoside","503.177","NEGATIVE"
"MSBNK-AAFC-AC000805","CBUOBMSAFIYYEJ-ZCFIWIBFSA-N","Redoxcitrinin","235.0981","NEGATIVE"
"MSBNK-AAFC-AC000893","LBBHTACWNVOYKN-SNQWNFAUSA-N","Andrastin C","457.2601","NEGATIVE"
"MSBNK-AAFC-AC000945","PUZDIGQDECBVJT-FLTFDZFMSA-N","Fumonisin Py4","687.3603","NEGATIVE"
"MSBNK-AAFC-AC000886","GRFAWUZMBBQEMX-IJNZYEPRSA-N","Deoxynivalenol 3-glucuronide","471.1513","NEGATIVE"
"MSBNK-AAFC-AC000939","GZCJIEXTWGJVIN-MKHOGIGVSA-N","Fumonisin Py2","703.3552","NEGATIVE"
"MSBNK-AAFC-AC000656","WYYKRDVIBOEORL-JLCKPESSSA-N","Fumonisin B4","688.3919","NEGATIVE"
"MSBNK-AAFC-AC000367","PUMXWMGECQIOGB-SMSDQXDJSA-N","Deoxynivalenol-3-glucoside","503.177","NEGATIVE"
"MSBNK-AAFC-AC000843","MBTAFMZUDOUGPS-CGKQSRJASA-N","Ctrinin hydrate","267.0879","NEGATIVE"
"MSBNK-AAFC-AC000894","LBBHTACWNVOYKN-SNQWNFAUSA-N","Andrastin C","457.2601","NEGATIVE"
"MSBNK-AAFC-AC000934","ROPHOAFGZRNKDO-SNXTYUPGSA-N","Fumonisin La4","689.3759","NEGATIVE"
"MSBNK-AAFC-AC000896","LBBHTACWNVOYKN-SNQWNFAUSA-N","Andrastin C","457.2601","NEGATIVE"
"MSBNK-AAFC-AC000933","ROPHOAFGZRNKDO-SNXTYUPGSA-N","Fumonisin La4","689.3759","NEGATIVE"
"MSBNK-AAFC-AC000676","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1192","NEGATIVE"
"MSBNK-AAFC-AC000884","GRFAWUZMBBQEMX-IJNZYEPRSA-N","Deoxynivalenol 3-glucuronide","471.1513","NEGATIVE"
"MSBNK-AAFC-AC000883","GRFAWUZMBBQEMX-IJNZYEPRSA-N","Deoxynivalenol 3-glucuronide","471.1513","NEGATIVE"
"MSBNK-AAFC-AC000532","HNMWDXUKPJZOQD-UHFFFAOYSA-N","Marticin","375.0727","NEGATIVE"
"MSBNK-AAFC-AC000677","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1192","NEGATIVE"
"MSBNK-AAFC-AC000825","SMUNNMAWNRFDPB-UWWAQUNASA-N","Andrastin D","427.2496","NEGATIVE"
"MSBNK-AAFC-AC000804","CBUOBMSAFIYYEJ-ZCFIWIBFSA-N","Redoxcitrinin","235.0981","NEGATIVE"
"MSBNK-AAFC-AC000940","GZCJIEXTWGJVIN-MKHOGIGVSA-N","Fumonisin Py2","703.3552","NEGATIVE"
