"","accession","categories"
"1","T3D0001","CigaretteToxin"
"2","T3D0001","Pesticide"
"3","T3D0001","HouseholdToxin"
"4","T3D0001","Pollutant"
"5","T3D0001","AirbornePollutant"
"6","T3D0001","FoodToxin"
"7","T3D0001","NaturalToxin"
"8","T3D0002","CigaretteToxin"
"9","T3D0002","HouseholdToxin"
"10","T3D0002","Industrial/WorkplaceToxin"
"11","T3D0002","Pollutant"
"12","T3D0002","AirbornePollutant"
"13","T3D0002","FoodToxin"
"14","T3D0002","NaturalToxin"
"15","T3D0003","HouseholdToxin"
"16","T3D0003","Industrial/WorkplaceToxin"
"17","T3D0003","Pollutant"
"18","T3D0003","AirbornePollutant"
"19","T3D0003","FoodToxin"
"20","T3D0003","NaturalToxin"
"21","T3D0004","CigaretteToxin"
"22","T3D0004","HouseholdToxin"
"23","T3D0004","Industrial/WorkplaceToxin"
"24","T3D0004","Pollutant"
"25","T3D0004","AirbornePollutant"
"26","T3D0004","SyntheticToxin"
"27","T3D0006","CigaretteToxin"
"28","T3D0006","Pesticide"
"29","T3D0006","HouseholdToxin"
"30","T3D0006","Industrial/WorkplaceToxin"
"31","T3D0006","Pollutant"
"32","T3D0006","AirbornePollutant"
"33","T3D0006","FoodToxin"
"34","T3D0006","NaturalToxin"
"35","T3D0007","CigaretteToxin"
"36","T3D0007","HouseholdToxin"
"37","T3D0007","Industrial/WorkplaceToxin"
"38","T3D0007","Pollutant"
"39","T3D0007","AirbornePollutant"
"40","T3D0007","FoodToxin"
"41","T3D0007","NaturalToxin"
"42","T3D0009","CigaretteToxin"
"43","T3D0009","Industrial/WorkplaceToxin"
"44","T3D0009","Pollutant"
"45","T3D0009","FoodToxin"
"46","T3D0009","NaturalToxin"
"47","T3D0010","CigaretteToxin"
"48","T3D0010","Industrial/WorkplaceToxin"
"49","T3D0010","Pollutant"
"50","T3D0010","FoodToxin"
"51","T3D0010","NaturalToxin"
"52","T3D0011","CigaretteToxin"
"53","T3D0011","Pesticide"
"54","T3D0011","HouseholdToxin"
"55","T3D0011","Industrial/WorkplaceToxin"
"56","T3D0011","Pollutant"
"57","T3D0011","AirbornePollutant"
"58","T3D0011","FoodToxin"
"59","T3D0011","SyntheticToxin"
"60","T3D0012","CigaretteToxin"
"61","T3D0012","Pesticide"
"62","T3D0012","Pollutant"
"63","T3D0012","FoodToxin"
"64","T3D0012","SyntheticToxin"
"65","T3D0013","Industrial/WorkplaceToxin"
"66","T3D0013","Pollutant"
"67","T3D0013","AirbornePollutant"
"68","T3D0013","PolychlorinatedBiphenyl"
"69","T3D0013","SyntheticToxin"
"70","T3D0014","Industrial/WorkplaceToxin"
"71","T3D0014","Pollutant"
"72","T3D0014","AirbornePollutant"
"73","T3D0014","PolychlorinatedBiphenyl"
"74","T3D0014","SyntheticToxin"
"75","T3D0015","CigaretteToxin"
"76","T3D0015","Industrial/WorkplaceToxin"
"77","T3D0015","Pollutant"
"78","T3D0015","FoodToxin"
"79","T3D0015","NaturalToxin"
"80","T3D0016","CigaretteToxin"
"81","T3D0016","HouseholdToxin"
"82","T3D0016","Industrial/WorkplaceToxin"
"83","T3D0016","Pollutant"
"84","T3D0016","AirbornePollutant"
"85","T3D0016","FoodToxin"
"86","T3D0016","SyntheticToxin"
"87","T3D0017","Pesticide"
"88","T3D0017","Pollutant"
"89","T3D0017","SyntheticToxin"
"90","T3D0018","Industrial/WorkplaceToxin"
"91","T3D0018","Pollutant"
"92","T3D0018","AirbornePollutant"
"93","T3D0018","NaturalToxin"
"94","T3D0019","Industrial/WorkplaceToxin"
"95","T3D0019","Pollutant"
"96","T3D0019","AirbornePollutant"
"97","T3D0019","SyntheticToxin"
"98","T3D0020","Pesticide"
"99","T3D0020","Pollutant"
"100","T3D0020","AirbornePollutant"
"101","T3D0020","SyntheticToxin"
"102","T3D0021","Pesticide"
"103","T3D0021","Pollutant"
"104","T3D0021","AirbornePollutant"
"105","T3D0021","SyntheticToxin"
"106","T3D0022","Industrial/WorkplaceToxin"
"107","T3D0022","Pollutant"
"108","T3D0022","AirbornePollutant"
"109","T3D0022","SyntheticToxin"
"110","T3D0024","Pesticide"
"111","T3D0024","Pollutant"
"112","T3D0024","SyntheticToxin"
"113","T3D0025","Pesticide"
"114","T3D0025","Pollutant"
"115","T3D0025","SyntheticToxin"
"116","T3D0026","Industrial/WorkplaceToxin"
"117","T3D0026","Pollutant"
"118","T3D0026","AirbornePollutant"
"119","T3D0026","SyntheticToxin"
"120","T3D0027","Industrial/WorkplaceToxin"
"121","T3D0027","Pollutant"
"122","T3D0027","AirbornePollutant"
"123","T3D0027","PolychlorinatedBiphenyl"
"124","T3D0027","SyntheticToxin"
"125","T3D0028","Industrial/WorkplaceToxin"
"126","T3D0028","Pollutant"
"127","T3D0028","AirbornePollutant"
"128","T3D0028","FoodToxin"
"129","T3D0028","NaturalToxin"
"130","T3D0031","Pesticide"
"131","T3D0031","Pollutant"
"132","T3D0031","AirbornePollutant"
"133","T3D0031","SyntheticToxin"
"134","T3D0032","Drug"
