"","accession","keggmap"
"1","T3D0013","map00480"
"2","T3D0013","map00071"
"3","T3D0013","map00380"
"4","T3D0013","map00061"
"5","T3D0013","map00360"
"6","T3D0013","map04720"
"7","T3D0013","map04110"
"8","T3D0013","map02010"
"9","T3D0013","map04210"
"10","T3D0014","map04210"
"11","T3D0017","map00360"
"12","T3D0017","map04911"
"13","T3D0017","map00190"
"14","T3D0017","map04710"
"15","T3D0017","map03410"
"16","T3D0017","map04210"
"17","T3D0020","map04110"
"18","T3D0020","map05164"
"19","T3D0020","map04210"
"20","T3D0027","map00730"
"21","T3D0027","map04210"
"22","T3D0036","map04110"
"23","T3D0036","map02010"
"24","T3D0044","map04210"
"25","T3D0067","map00190"
"26","T3D0067","map04110"
"27","T3D0067","map04210"
"28","T3D0073","map00071"
"29","T3D0073","map00590"
"30","T3D0073","map00562"
"31","T3D0073","map04910"
"32","T3D0073","map04720"
"33","T3D0073","map04911"
"34","T3D0073","map00190"
"35","T3D0073","map04144"
"36","T3D0073","map04110"
"37","T3D0073","map04310"
"38","T3D0073","map04710"
"39","T3D0073","map04210"
"40","T3D0073","map04360"
"41","T3D0073","map03020"
"42","T3D0094","map00232"
"43","T3D0094","map00190"
"44","T3D0094","map04210"
"45","T3D0115","map00240"
"46","T3D0115","map00590"
"47","T3D0115","map04110"
"48","T3D0115","map02010"
"49","T3D0115","map03030"
"50","T3D0115","map04210"
"51","T3D0119","map00030"
"52","T3D0119","map03420"
"53","T3D0119","map04144"
"54","T3D0119","map03440"
"55","T3D0119","map04110"
"56","T3D0119","map04210"
"57","T3D0134","map00100"
"58","T3D0134","map00071"
"59","T3D0134","map03420"
"60","T3D0134","map00140"
"61","T3D0134","map04971"
"62","T3D0134","map00190"
"63","T3D0134","map04110"
"64","T3D0134","map02010"
"65","T3D0134","map03018"
"66","T3D0134","map03410"
"67","T3D0134","map04380"
"68","T3D0134","map04210"
"69","T3D0157","map00260"
"70","T3D0157","map00360"
"71","T3D0157","map00910"
"72","T3D0157","map00330"
"73","T3D0157","map00472"
"74","T3D0157","map00520"
"75","T3D0157","map00670"
"76","T3D0157","map00250"
"77","T3D0166","map04976"
"78","T3D0184","map00072"
