"","accession","omimid"
"1","T3D0002","150500"
"2","T3D0006","111300"
"3","T3D0042","108730"
"4","T3D0042","142858"
"5","T3D0042","181000"
"6","T3D0066","250650"
"7","T3D0066","609236"
"8","T3D0074","103600"
"9","T3D0074","110900"
"10","T3D0074","113705"
"11","T3D0074","121300"
"12","T3D0074","125270"
"13","T3D0074","137164"
"14","T3D0074","138750"
"15","T3D0074","150330"
"16","T3D0074","163729"
"17","T3D0074","165240"
"18","T3D0074","180200"
"19","T3D0074","184757"
"20","T3D0074","188840"
"21","T3D0074","190080"
"22","T3D0074","191170"
"23","T3D0074","191290"
"24","T3D0074","194470"
"25","T3D0074","300414"
"26","T3D0074","300473"
"27","T3D0074","314998"
"28","T3D0074","600140"
"29","T3D0074","600310"
"30","T3D0074","600871"
"31","T3D0074","600993"
"32","T3D0074","601487"
"33","T3D0074","601757"
"34","T3D0074","601758"
"35","T3D0074","602432"
"36","T3D0074","602575"
"37","T3D0074","602630"
"38","T3D0074","603693"
"39","T3D0074","604386"
"40","T3D0074","604485"
"41","T3D0074","606829"
"42","T3D0074","607035"
"43","T3D0074","607102"
"44","T3D0074","607818"
"45","T3D0074","608072"
"46","T3D0074","608118"
"47","T3D0077","271400"
"48","T3D0091","103600"
"49","T3D0091","106195"
"50","T3D0091","109270"
"51","T3D0091","109280"
"52","T3D0091","111000"
"53","T3D0091","111300"
"54","T3D0091","118425"
"55","T3D0091","118930"
"56","T3D0091","121011"
"57","T3D0091","123885"
"58","T3D0091","125950"
"59","T3D0091","126650"
"60","T3D0091","131399"
"61","T3D0091","137163"
"62","T3D0091","137165"
"63","T3D0091","137192"
"64","T3D0091","138491"
"65","T3D0091","139392"
"66","T3D0091","141850"
"67","T3D0091","141900"
"68","T3D0091","145260"
"69","T3D0091","145500"
"70","T3D0091","160800"
"71","T3D0091","160900"
"72","T3D0091","166600"
"73","T3D0091","167050"
"74","T3D0091","171050"
"75","T3D0091","171060"
"76","T3D0091","173393"
"77","T3D0091","179800"
"78","T3D0091","181750"
"79","T3D0091","182307"
"80","T3D0091","186854"
"81","T3D0091","188070"
"82","T3D0091","192320"
"83","T3D0091","214700"
"84","T3D0091","218000"
"85","T3D0091","219700"
"86","T3D0091","223900"
"87","T3D0091","229100"
