"","accession","route_of_exposure"
"1","T3D0001","oral"
"2","T3D0002","oral"
"3","T3D0003","inhalation"
"4","T3D0004","oral"
"5","T3D0006","inhalation"
"6","T3D0007","oral"
"7","T3D0009","oral"
"8","T3D0010","oral"
"9","T3D0011","oral"
"10","T3D0012","oral"
"11","T3D0013","oral"
"12","T3D0014","oral"
"13","T3D0015","oral"
"14","T3D0016","oral"
"15","T3D0017","oral"
"16","T3D0018","oral"
"17","T3D0019","inhalation"
"18","T3D0019","dermal"
"19","T3D0019","ingestion"
"20","T3D0020","oral"
"21","T3D0021","oral"
"22","T3D0022","oral"
"23","T3D0024","oral"
"24","T3D0025","oral"
"25","T3D0026","oral"
"26","T3D0027","oral"
"27","T3D0028","oral"
"28","T3D0031","oral"
"29","T3D0032","orallindaneisabsorbedsignificantlythroughtheskinameanpeakbloodconcentrationof28nanogramspermloccurredininfantschildren6hoursaftertotalbodyapplicationoflindanelotionforscabies"
"30","T3D0033","oral"
"31","T3D0034","oral"
"32","T3D0035","oral"
"33","T3D0036","oral"
"34","T3D0037","oral"
"35","T3D0038","oral"
"36","T3D0039","oral"
"37","T3D0040","oral"
"38","T3D0041","oral"
"39","T3D0042","inhalation"
"40","T3D0043","oral"
"41","T3D0044","oral"
"42","T3D0045","oral"
"43","T3D0046","oral"
"44","T3D0047","oral"
"45","T3D0048","oral"
"46","T3D0049","inhalation"
"47","T3D0050","oral"
"48","T3D0051","oral"
"49","T3D0052","oral"
"50","T3D0053","oral"
"51","T3D0055","oral"
"52","T3D0056","oral"
"53","T3D0058","oral"
"54","T3D0059","oral"
"55","T3D0061","oral"
"56","T3D0062","oral"
"57","T3D0063","oral"
"58","T3D0064","oral"
"59","T3D0065","oral"
"60","T3D0066","inhalation"
"61","T3D0067","oral"
"62","T3D0069","oral"
"63","T3D0070","oral"
"64","T3D0071","oral"
"65","T3D0072","oral"
"66","T3D0073","oral"
"67","T3D0074","oral"
"68","T3D0075","oral"
"69","T3D0076","oral"
"70","T3D0077","oral"
"71","T3D0078","oral"
"72","T3D0079","oral"
"73","T3D0080","oral"
"74","T3D0082","oral"
"75","T3D0084","oral"
"76","T3D0085","oral"
"77","T3D0086","oral"
"78","T3D0087","oral"
"79","T3D0088","oral"
"80","T3D0089","oral"
"81","T3D0091","inhalation"
"82","T3D0092","oral"
"83","T3D0093","oral"
"84","T3D0094","dermal"
"85","T3D0096","oral"
"86","T3D0097","oral"
"87","T3D0099","oral"
"88","T3D0100","inhalation"
"89","T3D0101","inhalation"
"90","T3D0102","oral"
"91","T3D0103","oral"
"92","T3D0104","oral"
"93","T3D0105","inhalation"
"94","T3D0106","oral"
"95","T3D0107","oral"
"96","T3D0108","oral"
"97","T3D0109","oral"
"98","T3D0110","oral"
"99","T3D0111","oral"
"100","T3D0112","oral"
"101","T3D0113","oral"
"102","T3D0114","oral"
"103","T3D0115","oral"
"104","T3D0116","oral"
"105","T3D0117","oral"
"106","T3D0119","inhalation"
"107","T3D0120","oral"
"108","T3D0121","oral"
"109","T3D0122","oral"
"110","T3D0123","oral"
"111","T3D0124","oral"
"112","T3D0125","oral"
"113","T3D0126","oral"
"114","T3D0127","oral"
"115","T3D0128","oral"
"116","T3D0129","oral"
"117","T3D0130","oral"
"118","T3D0131","inhalation"
"119","T3D0132","oral"
"120","T3D0133","oral"
"121","T3D0134","oral"
"122","T3D0135","oral"
"123","T3D0136","oral"
"124","T3D0137","oral"
"125","T3D0138","oral"
"126","T3D0139","oral"
"127","T3D0140","oral"
"128","T3D0141","inhalation"
"129","T3D0142","oral"
"130","T3D0144","oral"
"131","T3D0145","oral"
"132","T3D0146","oral"
"133","T3D0147","oral"
"134","T3D0148","oral"
"135","T3D0151","oral"
"136","T3D0151","about40%orallysodrenisabsorbed"
"137","T3D0152","oral"
"138","T3D0156","inhalation"
"139","T3D0157","oral"
"140","T3D0158","oral"
"141","T3D0159","inhalation"
"142","T3D0160","inhalation"
"143","T3D0161","oral"
"144","T3D0162","inhalation"
"145","T3D0163","inhalation"
"146","T3D0165","inhalation"
"147","T3D0166","inhalation"
"148","T3D0167",NA
"149","T3D0168","inhalation"
"150","T3D0170","inhalation"
"151","T3D0172","inhalation"
"152","T3D0173","inhalation"
"153","T3D0174","oral"
"154","T3D0176","inhalation"
"155","T3D0177","inhalation"
"156","T3D0178","oral"
"157","T3D0179","oral"
"158","T3D0180","inhalation"
"159","T3D0182","inhalation"
"160","T3D0183","inhalation"
"161","T3D0184","inhalation"
"162","T3D0185","oral"
"163","T3D0187","oral"
"164","T3D0189","inhalation"
"165","T3D0191","oral"
"166","T3D0191","inhalation"
"167","T3D0191","dermal"
"168","T3D0194","oral"
"169","T3D0195","oral"
"170","T3D0196","oral"
"171","T3D0198","oral"
"172","T3D0199","oral"
"173","T3D0200","oral"
"174","T3D0207","inhalation"
"175","T3D0209","oral"
