"","accession","smpdb"
"1","T3D0013","SMP00015"
"2","T3D0013","SMP00051"
"3","T3D0013","SMP00063"
"4","T3D0013","SMP00456"
"5","T3D0027","SMP00076"
"6","T3D0073","SMP00051"
"7","T3D0073","SMP00075"
"8","T3D0073","SMP00462"
"9","T3D0094","SMP00028"
"10","T3D0115","SMP00046"
"11","T3D0115","SMP00075"
"12","T3D0119","SMP00031"
"13","T3D0119","SMP00478"
"14","T3D0134","SMP00023"
"15","T3D0134","SMP00051"
"16","T3D0134","SMP00478"
"17","T3D0157","SMP00001"
"18","T3D0157","SMP00002"
"19","T3D0157","SMP00003"
"20","T3D0157","SMP00004"
"21","T3D0157","SMP00008"
"22","T3D0157","SMP00009"
"23","T3D0157","SMP00020"
"24","T3D0157","SMP00036"
"25","T3D0157","SMP00045"
"26","T3D0157","SMP00053"
"27","T3D0157","SMP00059"
"28","T3D0157","SMP00072"
"29","T3D0157","SMP00127"
"30","T3D0157","SMP00138"
"31","T3D0157","SMP00173"
"32","T3D0157","SMP00174"
"33","T3D0157","SMP00197"
"34","T3D0157","SMP00198"
"35","T3D0157","SMP00200"
"36","T3D0157","SMP00201"
"37","T3D0157","SMP00235"
"38","T3D0157","SMP00236"
"39","T3D0157","SMP00238"
"40","T3D0157","SMP00339"
"41","T3D0157","SMP00350"
"42","T3D0157","SMP00357"
"43","T3D0157","SMP00452"
"44","T3D0157","SMP00455"
"45","T3D0157","SMP00506"
"46","T3D0157","SMP00517"
"47","T3D0184","SMP00071"
"48","T3D0211","SMP00063"
"49","T3D0223","SMP00015"
"50","T3D0223","SMP00075"
"51","T3D0223","SMP00478"
"52","T3D0244","SMP00004"
"53","T3D0330","SMP00075"
"54","T3D0364","SMP00456"
"55","T3D0364","SMP00478"
"56","T3D0653","SMP00031"
"57","T3D0679","SMP00006"
"58","T3D0679","SMP00051"
"59","T3D0684","SMP00031"
"60","T3D0684","SMP00075"
"61","T3D0684","SMP00478"
"62","T3D0688","SMP00075"
"63","T3D0696","SMP00478"
"64","T3D0720","SMP00023"
"65","T3D0720","SMP00031"
"66","T3D0720","SMP00478"
"67","T3D0731","SMP00050"
"68","T3D0735","SMP00456"
"69","T3D0735","SMP00478"
"70","T3D0737","SMP00015"
"71","T3D0737","SMP00031"
"72","T3D0737","SMP00051"
"73","T3D0737","SMP00063"
"74","T3D0738","SMP00031"
"75","T3D0738","SMP00043"
"76","T3D0738","SMP00058"
"77","T3D0738","SMP00478"
"78","T3D0770","SMP00449"
"79","T3D0856","SMP00352"
"80","T3D0856","SMP00558"
"81","T3D1746","SMP00478"
"82","T3D1819","SMP00060"
"83","T3D1834","SMP00029"
"84","T3D2462","SMP00075"
"85","T3D2467","SMP00075"
"86","T3D2477","SMP00031"
"87","T3D2507","SMP00031"
"88","T3D2507","SMP00075"
"89","T3D2512","SMP00075"
"90","T3D2563","SMP00004"
"91","T3D2563","SMP00009"
"92","T3D2563","SMP00012"
"93","T3D2563","SMP00031"
"94","T3D2563","SMP00033"
"95","T3D2563","SMP00044"
"96","T3D2563","SMP00053"
"97","T3D2563","SMP00057"
"98","T3D2563","SMP00071"
"99","T3D2563","SMP00445"
"100","T3D2563","SMP00452"
"101","T3D2563","SMP00464"
"102","T3D2563","SMP00465"
"103","T3D2563","SMP00466"
"104","T3D2587","SMP00462"
"105","T3D2690","SMP00009"
"106","T3D2690","SMP00016"
"107","T3D2690","SMP00032"
"108","T3D2690","SMP00055"
"109","T3D2690","SMP00057"
"110","T3D2690","SMP00060"
"111","T3D2690","SMP00066"
"112","T3D2690","SMP00072"
"113","T3D2690","SMP00128"
"114","T3D2690","SMP00136"
"115","T3D2690","SMP00137"
"116","T3D2690","SMP00138"
"117","T3D2690","SMP00139"
"118","T3D2690","SMP00140"
"119","T3D2690","SMP00141"
"120","T3D2690","SMP00173"
"121","T3D2690","SMP00174"
"122","T3D2690","SMP00196"
"123","T3D2690","SMP00198"
"124","T3D2690","SMP00199"
"125","T3D2690","SMP00200"
"126","T3D2690","SMP00201"
"127","T3D2690","SMP00212"
"128","T3D2690","SMP00236"
"129","T3D2690","SMP00237"
"130","T3D2690","SMP00238"
"131","T3D2690","SMP00243"
"132","T3D2690","SMP00313"
"133","T3D2690","SMP00334"
"134","T3D2690","SMP00339"
"135","T3D2690","SMP00350"
"136","T3D2690","SMP00352"
"137","T3D2690","SMP00374"
"138","T3D2690","SMP00384"
"139","T3D2690","SMP00385"
"140","T3D2690","SMP00452"
"141","T3D2690","SMP00456"
"142","T3D2690","SMP00466"
"143","T3D2690","SMP00502"
"144","T3D2690","SMP00521"
"145","T3D2690","SMP00522"
"146","T3D2690","SMP00523"
"147","T3D2690","SMP00524"
"148","T3D2690","SMP00546"
"149","T3D2690","SMP00547"
"150","T3D2690","SMP00548"
"151","T3D2690","SMP00549"
"152","T3D2690","SMP00550"
"153","T3D2690","SMP00551"
"154","T3D2690","SMP00558"
"155","T3D2690","SMP00559"
"156","T3D2690","SMP00560"
"157","T3D2690","SMP00562"
"158","T3D2690","SMP00563"
"159","T3D2690","SMP00564"
"160","T3D2690","SMP00567"
"161","T3D2690","SMP00573"
"162","T3D2690","SMP00574"
"163","T3D2690","SMP00581"
"164","T3D2696","SMP00076"
"165","T3D2698","SMP00005"
"166","T3D2698","SMP00053"
"167","T3D2699","SMP00074"
"168","T3D2701","SMP00017"
"169","T3D2702","SMP00004"
"170","T3D2702","SMP00009"
"171","T3D2712","SMP00028"
"172","T3D2742","SMP00051"
"173","T3D2791","SMP00015"
"174","T3D2832","SMP00030"
"175","T3D2832","SMP00052"
"176","T3D2832","SMP00197"
"177","T3D2832","SMP00236"
"178","T3D2832","SMP00465"
"179","T3D2832","SMP00480"
"180","T3D2832","SMP00482"
"181","T3D2832","SMP00538"
"182","T3D2841","SMP00048"
"183","T3D2884","SMP00074"
"184","T3D2972","SMP00063"
"185","T3D3028","SMP00006"
"186","T3D3028","SMP00012"
"187","T3D3028","SMP00063"
"188","T3D3028","SMP00170"
"189","T3D3268","SMP00045"
