"inchikey","id","name","precursormz","accession"
"AAEVYOVXGOFMJO-UHFFFAOYSA-N","CSC1=NC(NC(N1)=NC(C)C)=NC(C)C","Prometryn; LC-ESI-ITFT; MS2; CE","242.143393","T3D3906"
"AAOVKJBEBIDNHE-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU160802","Diazepam","285.0789","T3D2903"
"AAOVKJBEBIDNHE-UHFFFAOYSA-N","FiehnHILIC000304","Diazepam","285.0784","T3D2903"
"AAPVQEMYVNZIOO-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU591419","Endosulfan sulphate","419.8112","T3D0055"
"ADEBPBSSDYVVLD-UHFFFAOYNA-N","O=C1C2=CC(OC)=C(OC)C=C2CC1CC3CCN(CC=4C=CC=CC4)CC3","Donepezil","380.22202025017","T3D2910"
"ADFCQWZHKCXPAJ-GFCCVEGCSA-N","OC1=CC=C(C=C1)C2COC3=CC(O)=CC=C3C2","(S)-3-(4-hydroxyphenyl)chroman-7-ol","243.1","T3D3962"
"ADFCQWZHKCXPAJ-GFCCVEGCSA-N","OC1=CC=C(C=C1)C2COC3=CC(O)=CC=C3C2","(S)-3-(4-hydroxyphenyl)chroman-7-ol","265.08","T3D3962"
"ADFCQWZHKCXPAJ-GFCCVEGCSA-N","OC1=CC=C(C=C1)C2COC3=CC(O)=CC=C3C2","(S)-3-(4-hydroxyphenyl)chroman-7-ol","243.102","T3D3962"
"ADIMAYPTOBDMTL-UHFFFAOYNA-N","OC1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N=C1O","Oxazepam; LC-ESI-ITFT; MS2; CE","287.058182","T3D2909"
"AFCGFAGUEYAMAO-UHFFFAOYSA-N","EA284812","Acamprosate","182.0482","T3D2853"
"AFCGFAGUEYAMAO-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU214530","Acamprosate","204.0301","T3D2853"
"AGSPXMVUFBBBMO-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO002126","3-Aminopropionitrile","71","T3D1690"
"AHJKRLASYNVKDZ-UHFFFAOYSA-N","MSBNK-MSSJ-MSJ01049","p,p'-DDD","317.95","T3D0025"
"AHOUBRCZNHFOSL-YOEHRIQHSA-N","MoNA033353","PAROXETINE","330.1499977","T3D2868"
"AHOUBRCZNHFOSL-YOEHRIQHSA-N","FiehnHILIC000659","Paroxetine","330.1494","T3D2868"
"AHOUBRCZNHFOSL-YOEHRIQHSA-N","FiehnHILIC002227","Paroxetine","330.1519","T3D2868"
"AJSPSRWWZBBIOR-UHFFFAOYSA-N","O=C1OC2=C3C=COC3=CC(OC)=C2C=C1","Isobergapten","239.03","T3D0816"
"AJSPSRWWZBBIOR-UHFFFAOYSA-N","O=C1OC2=C3C=COC3=CC(OC)=C2C=C1","Isobergapten","217.05","T3D0816"
"AKPLHCDWDRPJGD-UHFFFAOYSA-N","MSBNK-Eawag-EQ360808","Nordiazepam","271.0633","T3D4588"
"AMRQXHFXNZFDCH-UHFFFAOYSA-N","EA013612","Carbetamide","237.1234","T3D0943"
"ANTSCNMPPGJYLG-UHFFFAOYSA-N","AU154206","Chlordiazepoxide","300.0898","T3D2804"
